Dataset,ASpT_time,ASpT_gflops
192bit,0.569216,693.964455
mip1,21.813248,1215.005534
wv2010,3.941888,430.524733
xenon2,12.188288,812.150279
Zd_Jac2_db,2.338816,740.410487
Zhao2,1.133216,376.026875
