Dataset,Spuntik_time,Sputnik_gflops,cuSparse_time,cuSparse_gflops,ours_time,ours_gflops
barrier2-1, 21.339136, 456.483994, 18.743296, 519.704445, 14.103552, 690.675241
barrier2-10, 24.016895, 415.446951, 19.230721, 518.844102, 14.451712, 690.419665
barrier2-11, 23.932928, 416.904521, 19.190784, 519.923818, 14.458880, 690.077352
barrier2-12, 24.004608, 415.659604, 19.198977, 519.701970, 14.457856, 690.126240
barrier2-2, 21.279743, 457.758066, 18.826241, 517.414725, 14.097408, 690.976233
barrier2-3, 21.334017, 456.593532, 18.741247, 519.761251, 14.094336, 691.126874
barrier2-4, 21.294081, 457.449852, 18.810881, 517.837216, 14.097408, 690.976233
barrier2-9, 24.054785, 414.792567, 19.261440, 518.016606, 14.451712, 690.419665
bauru5727, 1.564672, 237.269307, 1.631232, 227.587881, 1.161216, 319.706784
baxter, 5.423104, 52.669941, 1.358848, 210.203470, 1.283072, 222.617718
bayer01, 2.522112, 281.946825, 2.255872, 315.222422, 1.542144, 461.112235
bayer04, 0.996352, 408.741000, 1.268736, 320.988699, 0.806912, 504.701774
bbmat, 6.489088, 698.959280, 6.976512, 650.125500, 5.105664, 888.348414
bcircuit, 3.213312, 299.201729, 2.968576, 323.868580, 1.924096, 499.678023
bcsstk17, 1.465344, 748.864455, 1.678336, 653.828545, 1.399808, 783.924625
bcsstk18, 0.820224, 465.324602, 0.914432, 417.385223, 0.727040, 524.964794
bcsstk25, 1.202176, 537.140130, 1.347584, 479.181228, 1.204224, 536.226620
bcsstk29, 2.159616, 734.338551, 2.621440, 604.968765, 2.055168, 771.659225
bcsstk30, 6.166528, 848.344373, 7.596032, 688.693705, 6.414336, 815.569897
bcsstk31, 4.288512, 705.238740, 4.717568, 641.098339, 3.824640, 790.773754
bcsstk32, 6.484992, 795.318566, 7.958528, 648.063880, 6.375424, 808.986921
bcsstk35, 4.601856, 806.721699, 5.572608, 666.190280, 4.639744, 800.134110
bcsstk36, 3.637248, 804.574879, 4.214784, 694.326993, 3.653632, 800.966945
bcsstk37, 3.785728, 771.555996, 4.225024, 691.333580, 3.627008, 805.319743
bcsstk39, 6.419456, 833.184718, 7.809024, 684.924613, 6.704128, 797.805890
bcsstm36, 1.481728, 553.915012, 1.561600, 525.583617, 1.263616, 649.525949
belgium_osm, 48.584705, 163.340425, 40.250366, 197.162092, 26.343424, 301.245823
bfly, 1.829888, 275.053164, 2.035712, 247.243460, 1.096704, 458.935572
blockqp1, 65.502205, 25.014188, 4.537344, 361.110925, 2.408448, 680.307191
bloweya, 14.865408, 25.833333, 1.404928, 273.340021, 1.302528, 294.829004
bloweybl, 14.809088, 20.744019, 1.385472, 221.729481, 1.297408, 236.779798
bmw3_2, 34.636799, 834.340752, 41.055233, 703.902784, 35.246078, 819.917961
bmw7st_1, 22.370304, 839.932592, 26.670080, 704.517849, 22.770687, 825.163836
bmwcra_1, 30.695423, 887.710360, 40.254463, 676.909912, 31.633408, 861.388235
bodyy4, 0.790528, 394.876943, 1.110016, 281.222328, 0.624640, 499.745911
bodyy5, 0.835584, 396.081502, 1.149952, 287.802747, 0.662528, 499.540202
bodyy6, 0.879616, 392.165299, 1.174528, 293.696599, 0.714752, 482.621764
bone010, 201.230331, 911.720369, 289.649658, 633.405864, 205.358078, 893.394571
boneS01, 21.094400, 814.945615, 25.113600, 684.521107, 21.140480, 813.169289
boneS10, 167.481339, 847.850642, 209.550339, 677.637465, 166.332413, 853.707092
boyd1, 152.358917, 20.351624, 10.736640, 288.800907, 5.480448, 565.784310
boyd2, 154.889221, 24.798474, 19.453953, 197.441433, 12.992512, 295.633084
brack2, 4.265984, 439.941185, 4.147200, 452.541964, 2.929664, 640.613444
brainpc2, 22.202368, 20.684785, 1.656832, 277.186345, 1.451008, 316.504948
bratu3d, 1.234944, 360.273636, 1.513472, 293.971591, 0.896000, 496.559985
bundle1, 4.870144, 405.225514, 2.912256, 677.655590, 2.507776, 786.954873
bundle_adj, 67.838974, 762.579495, 75.785217, 682.621393, 61.717503, 838.216201
c-42, 2.148352, 131.416831, 0.830464, 339.966089, 1.057792, 266.904660
c-43, 4.374528, 72.375352, 0.864256, 366.335890, 1.010688, 313.259895
c-45, 4.062208, 109.939496, 1.069056, 417.749029, 1.222656, 365.268003
c-46, 2.525184, 132.194854, 1.063936, 313.756017, 1.119232, 298.254788
c-47, 3.542016, 152.790545, 1.353728, 399.774946, 1.306624, 414.186895
c-48, 1.789952, 237.528599, 1.276928, 332.959115, 1.114112, 381.617640
