Dataset,Spuntik_time,Sputnik_gflops,cuSparse_time,cuSparse_gflops,ours_time,ours_gflops
g7jac040, 0.676864, 433.702705, 0.900096, 326.140501, 0.602112, 487.546773
g7jac040sc, 0.677888, 433.047598, 0.972800, 301.765784, 0.615424, 477.000849
g7jac050sc, 0.867328, 466.322320, 1.160192, 348.609881, 0.758784, 533.029692
g7jac060, 1.063936, 489.210782, 1.413120, 368.326079, 0.916480, 567.921785
g7jac060sc, 1.061888, 490.154301, 1.405952, 370.203939, 0.893952, 582.233669
g7jac080, 1.481728, 507.906027, 1.851392, 406.493356, 1.213440, 620.202562
g7jac080sc, 1.641472, 458.477859, 1.842176, 408.526968, 1.217536, 618.116078
g7jac100, 1.899520, 518.377348, 2.307072, 426.804275, 1.575936, 624.814831
g7jac100sc, 1.899520, 518.377348, 2.328576, 422.862781, 1.574912, 625.221085
g7jac120, 2.322432, 523.915335, 2.777088, 438.141604, 1.920000, 633.728014
g7jac120sc, 2.479104, 490.805444, 2.762752, 440.415113, 1.917952, 634.404718
g7jac140, 2.945024, 491.964532, 3.209216, 451.464565, 2.274304, 637.050902
g7jac140sc, 2.788352, 519.607049, 3.216384, 450.458462, 2.272256, 637.625085
g7jac160, 3.262464, 515.235398, 3.655680, 459.815133, 2.639872, 636.749400
g7jac160sc, 3.246080, 517.835975, 3.793920, 443.060724, 2.682880, 626.542002
g7jac180, 3.684352, 519.230139, 4.085760, 468.218032, 2.982912, 641.328514
g7jac180sc, 3.688448, 518.653533, 4.445184, 430.359342, 2.973696, 643.316117
g7jac200, 4.222976, 507.963118, 4.512768, 475.343793, 3.318784, 646.356063
g7jac200sc, 4.224000, 507.840003, 4.517888, 474.805070, 3.320832, 645.957444
ga2010, 14.286848, 254.095469, 11.342848, 320.045144, 7.625728, 476.049408
garon2, 1.475584, 677.666537, 1.789952, 558.648443, 1.262592, 791.985022
gas_sensor, 6.215680, 701.550645, 7.310336, 596.499851, 5.082112, 858.031964
gearbox, 27.445248, 846.989415, 33.117184, 701.926663, 28.228607, 823.484988
graphics, 0.976896, 309.103777, 1.089536, 277.147569, 0.583680, 517.342128
great-britain_osm, -1.000000, -41761.367040, 223.774719, 186.622364, 141.573120, 294.980905
gridgena, 2.811904, 466.209039, 2.784256, 470.838547, 1.899520, 690.140147
gsm_106857, 106.429443, 523.378153, 137.043961, 406.459688, 115.643394, 481.677710
gupta1, 21.069824, 262.953195, 8.394752, 659.981128, 7.042048, 786.756582
gupta2, 24.778751, 438.908805, 16.815104, 646.776402, 13.731840, 791.999619
gupta3, 46.659584, 511.534203, 37.555199, 635.543785, 28.451839, 838.890335
gyro, 3.211264, 814.061729, 3.997696, 653.918430, 3.439616, 760.017126
gyro_k, 3.213312, 813.542884, 3.990528, 655.093003, 3.436544, 760.696527
gyro_m, 1.579008, 551.930940, 1.906688, 457.077074, 1.280000, 680.862015
halfb, 36.358143, 872.234368, 46.468098, 682.464386, 38.103039, 832.291144
hangGlider_4, 19.186687, 19.951434, 1.195008, 320.334180, 1.173504, 326.204190
hangGlider_5, 19.847168, 20.024507, 1.228800, 323.429151, 1.143808, 347.461949
hcircuit, 5.466112, 240.292238, 4.484096, 292.916188, 2.921472, 449.589894
helm2d03, 17.892351, 392.310297, 20.091904, 349.362296, 13.148160, 533.865850
helm3d01, 2.263040, 484.665144, 2.604032, 421.199364, 1.758208, 623.826429
hi2010, 1.092608, 290.829435, 1.376256, 230.889139, 0.873472, 363.792507
hollywood-2009, 528.986084, 551.171016, 528.039917, 552.158630, 404.937714, 720.016406
hood, 34.314240, 803.374825, 40.409088, 682.202876, 37.554176, 734.064726
hugetrace-00000, -1.000000, -35221.160960, 172.266495, 204.457408, 111.622147, 315.539183
hugetric-00000, -1.000000, -44715.637760, 218.867706, 204.304411, 141.617157, 315.750144
hugetric-00010, -1.000000, -50615.572480, 250.750977, 201.855934, 166.478851, 304.036051
hugetric-00020, -1.000000, -54685.578240, 270.860291, 201.895886, 179.658752, 304.385829
human_gene1, 67.668991, 933.282513, 104.969215, 601.645786, 89.297920, 707.231321
human_gene2, 50.142208, 922.477789, 75.916290, 609.290484, 64.601089, 716.010731
hvdc1, 1.146880, 357.100437, 1.369088, 299.141723, 0.850944, 481.290624
hvdc2, 9.034752, 381.750260, 8.073216, 427.217443, 5.337088, 646.236077
iChem_Jacobian, 19.904512, 532.123793, 21.059584, 502.937988, 14.160896, 747.951571
ia2010, 10.042368, 260.316612, 8.358912, 312.743459, 5.410816, 483.142488
ibm_matrix_2, 9.977856, 271.092476, 4.872192, 555.175505, 3.385344, 799.009370
id2010, 7.184384, 259.501145, 6.028288, 309.267884, 4.131840, 451.216828
igbt3, 1.249280, 479.520501, 1.202176, 498.309210, 0.923648, 648.575388
il2010, 21.604353, 256.477380, 18.607103, 297.790996, 12.052480, 459.741726
image_interp, 8.565760, 212.696661, 7.251968, 251.229529, 5.004288, 364.069456
in-2004, 79.407104, 545.387670, 70.280190, 616.214270, 58.884094, 735.472902
in2010, 12.682240, 258.723465, 10.330112, 317.633808, 6.812672, 481.630833
inlet, 1.288192, 652.470174, 1.354752, 620.413858, 1.098752, 764.965036
inline_1, 109.284355, 862.427521, 153.061371, 615.765003, 113.524734, 830.214102
ins2, 482.307068, 14.604387, 22.170624, 317.708654, 15.722496, 448.007684
internet, 4.005888, 132.422035, 3.619840, 146.544558, 2.465792, 215.130819
invextr1_new, 5.856256, 784.175991, 7.487488, 613.334604, 5.770240, 795.865596
italy_osm, -1.000000, -35911.567360, 189.514755, 189.492197, 118.342659, 303.454119
jan99jac060, 0.920576, 353.676316, 1.256448, 259.132023, 0.806912, 403.496190
jan99jac060sc, 0.923648, 352.500000, 1.176576, 276.723233, 0.812032, 400.952088
jan99jac080, 1.245184, 352.635706, 1.468416, 299.027202, 0.985088, 445.743247
jan99jac080sc, 1.246208, 352.345946, 1.453056, 302.188165, 1.003520, 437.556117
jan99jac100, 1.617920, 341.553789, 1.754112, 315.035025, 1.187840, 465.219834
jan99jac100sc, 1.554432, 355.503945, 1.727488, 319.890330, 1.191936, 463.621128
jan99jac120, 1.882112, 353.920017, 2.077696, 320.603733, 1.396736, 476.909815
jan99jac120sc, 1.996800, 333.592317, 2.034688, 327.380474, 1.391616, 478.664464
jnlbrng1, 1.855488, 274.834446, 1.806336, 282.312918, 1.134592, 449.458461
juba40k, 1.568768, 236.529043, 1.622016, 228.764211, 1.030144, 360.201301
k1_san, 3.531776, 405.750948, 3.718144, 385.413116, 2.349056, 610.041411
k3plates, 1.422336, 682.014047, 1.508352, 643.121164, 1.292288, 750.647813
karted, 202.003448, 22.435723, 12.378112, 366.137703, 7.929856, 571.522805
kim1, 3.755008, 636.211484, 4.343808, 549.973457, 3.040256, 785.782244
kim2, 42.893311, 676.209200, 47.370239, 612.301134, 32.615425, 889.298579
kkt_power, 120.243202, 311.106296, 110.528511, 338.450386, 76.213249, 490.838767
kneser_10_4_1, 14.152704, 179.482668, 10.958848, 231.791254, 8.230912, 308.612831
kron_g500-logn16, 37.098495, 338.987349, 22.785025, 551.937987, 20.097025, 625.760315
kron_g500-logn17, 69.369858, 377.463677, 51.902466, 504.496293, 42.249214, 619.765411
kron_g500-logn18, 132.143097, 410.045820, 116.955139, 463.294943, 87.158783, 621.678305
kron_g500-logn19, 250.989563, 444.318868, 259.717133, 429.387916, 180.304901, 618.504532
kron_g500-logn20, 480.642059, 475.309143, 575.241211, 397.143948, 376.321014, 607.070976
kron_g500-logn21, 947.473389, 491.974062, 1272.625122, 366.276230, 841.928711, 553.648219
ks2010, 11.096064, 258.812763, 9.166848, 313.281383, 6.000640, 478.582771
ky2010, 7.741440, 260.508604, 6.838272, 294.915390, 4.341760, 464.491728
la2010, 9.726976, 258.088736, 8.005632, 313.582103, 5.359616, 468.396081
laminar_duct3D, 11.286528, 869.415062, 17.108992, 573.539185, 11.297792, 868.548186
language, 27.454464, 113.417441, 14.097408, 220.878546, 9.973760, 312.200730
largebasis, 26.940416, 528.345807, 28.012545, 508.124349, 18.601984, 765.179455
ldoor, 146.340866, 813.836485, 171.678726, 693.723321, 158.618622, 750.842080
lhr10, 0.932864, 638.400103, 1.156096, 515.130655, 0.825344, 721.566354
lhr10c, 0.940032, 633.532131, 1.112064, 535.527162, 0.819200, 726.978143
lhr11, 0.961536, 622.313638, 1.182720, 505.932924, 0.827392, 723.208555
lhr11c, 0.965632, 619.673899, 1.170432, 511.244544, 0.828416, 722.314595
lhr14, 1.299456, 606.497242, 1.563648, 504.024235, 1.258496, 626.236755
lhr14c, 1.300480, 606.019681, 1.513472, 520.734114, 1.088512, 724.031082
lhr17, 1.585152, 616.884678, 1.884160, 518.987760, 1.352704, 722.889830
lhr17c, 1.576960, 620.089298, 1.903616, 513.683445, 1.350656, 723.985957
lhr34, 3.206144, 610.039905, 3.624960, 539.557918, 2.710528, 721.584840
lhr34c, 3.257344, 600.451115, 3.534848, 553.312576, 2.707456, 722.403525
lhr71, 6.455296, 606.000948, 6.689792, 584.758903, 5.348352, 731.424475
lhr71c, 6.564864, 595.886743, 6.680576, 585.565617, 5.340160, 732.546515
li, 4.841472, 713.995854, 5.556224, 622.147545, 4.646912, 743.889914
light_in_tissue, 2.127872, 488.551494, 2.336768, 444.877317, 1.604608, 647.868515
ljournal-2008, -1.000000, -202299.243520, 471.169037, 429.355980, 381.751282, 529.924202
lowThrust_10, 10.457088, 54.349048, 1.483776, 383.031408, 1.115136, 509.653339
lowThrust_11, 10.620928, 53.943551, 1.502208, 381.392299, 1.121280, 510.961208
lowThrust_12, 10.606592, 54.207616, 1.637376, 351.146039, 1.120256, 513.238141
lowThrust_13, 10.681344, 53.901112, 1.508352, 381.698903, 1.130496, 509.277616
lowThrust_4, 7.152640, 57.604511, 1.114112, 369.823063, 1.213440, 339.550649
lowThrust_5, 9.108480, 55.752948, 1.298432, 391.106075, 1.261568, 402.534513
lowThrust_6, 9.644032, 55.040616, 1.391616, 381.436722, 1.259520, 421.441039
lowThrust_7, 9.865216, 54.899573, 1.422336, 380.779342, 1.281024, 422.783780
lowThrust_8, 10.299392, 53.799216, 1.442816, 384.040094, 1.087488, 509.522102
lowThrust_9, 10.375168, 54.182048, 1.462272, 384.434511, 1.104896, 508.778985
lp1, 386.779144, 10.877410, 18.706432, 224.904200, 11.485184, 366.311528
lp_ken_18, 4.509696, 203.321412, 4.370432, 209.800263, 2.764800, 331.639806
lp_nug20, 2.074624, 376.110552, 2.610176, 298.940751, 2.022400, 385.822803
lp_nug30, 12.247040, 327.717397, 13.964288, 287.416592, 13.053952, 307.459989
lp_osa_60, 282.704895, 12.750635, 17.136641, 210.348514, 10.971136, 328.559125
lp_pds_10, 1.007616, 273.386675, 1.445888, 190.518762, 0.919552, 299.568476
lp_pds_20, 2.263040, 263.175332, 2.499584, 238.270180, 1.757184, 338.937932
lpl1, 1.855488, 452.588314, 2.270208, 369.909807, 1.446912, 580.389223
lpl3, 1.243136, 207.011936, 1.016832, 253.084090, 1.046528, 245.902646
lung2, 4.649984, 271.175959, 4.135936, 304.879937, 2.528256, 498.748493
luxembourg_osm, 3.893248, 157.372432, 3.536896, 173.228142, 2.150400, 284.919058
m133-b3, 7.402496, 276.940108, 7.323648, 279.921701, 4.290560, 477.804322
m14b, 21.413889, 401.448433, 20.878336, 411.746040, 14.541824, 591.161876
m_t1, 27.571199, 905.623975, 38.928383, 641.412187, 27.980801, 892.366860
ma2010, 7.644160, 260.083731, 6.717440, 295.964171, 4.358144, 456.185406
mac_econ_fwd500, 10.097664, 322.834656, 8.524800, 382.399086, 6.153216, 529.784084
majorbasis, 8.943616, 501.035040, 11.389952, 393.422648, 6.066176, 738.696834
mario001, 1.599488, 329.955182, 1.977344, 266.903154, 1.139712, 463.063801
mario002, 16.874496, 318.775706, 19.616768, 274.213344, 12.673024, 424.459028
mark3jac040, 0.832512, 348.816104, 1.077248, 269.569873, 0.704512, 412.191134
mark3jac040sc, 0.828416, 350.540795, 1.108992, 261.853652, 0.699392, 415.208626
mark3jac060, 1.281024, 341.117112, 1.440768, 303.296019, 0.976896, 447.313947
mark3jac060sc, 1.275904, 342.485939, 1.448960, 301.581283, 0.980992, 445.446233
mark3jac080, 1.703936, 342.480473, 1.823744, 319.981742, 1.245184, 468.657504
mark3jac080sc, 1.701888, 342.892606, 1.820672, 320.521647, 1.256448, 464.455979
mark3jac100, 2.152448, 339.218611, 2.165760, 337.133563, 1.512448, 482.760678
mark3jac100sc, 2.155520, 338.735160, 2.190336, 333.350867, 1.520640, 480.159928
mark3jac120, 2.604032, 336.684029, 2.512896, 348.894653, 1.774592, 494.049325
mark3jac120sc, 2.608128, 336.155272, 2.519040, 348.043684, 1.773568, 494.334575
mark3jac140, 3.061760, 334.226594, 2.859008, 357.928895, 2.045952, 500.168899
mark3jac140sc, 3.059712, 334.450309, 2.873344, 356.143093, 2.039808, 501.675443
matrix-new_3, 21.999617, 311.714523, 11.776000, 582.336955, 8.143872, 842.056430
matrix_9, 11.310080, 480.205994, 9.102336, 596.678484, 6.551552, 828.989551
mc2depi, 17.765375, 302.643539, 17.433599, 308.403093, 10.521600, 511.003661
md2010, 6.966272, 257.378367, 6.024192, 297.627918, 3.981312, 450.345932
me2010, 3.200000, 268.380796, 3.039232, 282.577492, 2.004992, 428.340141
memchip, 132.660217, 285.798696, 122.306557, 309.992515, 78.242813, 484.569964
memplus, 1.331200, 242.596153, 1.117184, 289.069650, 1.225728, 263.471170
mi2010, 15.803392, 255.635644, 12.709888, 317.855693, 8.476672, 476.591558
minsurfo, 1.798144, 289.894650, 1.835008, 284.070867, 1.153024, 452.091491
mip1, 114.147331, 232.184286, 38.006783, 697.328605, 27.956224, 948.025607
mixtank_new, 6.534144, 781.633374, 8.374272, 609.880447, 6.278144, 813.505561
mk12-b3, 1.747968, 304.481554, 1.700864, 312.913915, 1.027072, 518.195438
mk12-b4, 2.750464, 290.255030, 2.651136, 301.129789, 1.811456, 440.715102
mk13-b5, 6.231040, 333.118324, 7.151616, 290.238398, 4.799488, 432.478125
mn2010, 12.331008, 254.754610, 9.987072, 314.544756, 6.631424, 473.711399
mo2010, 16.832512, 251.941844, 13.170688, 321.988812, 8.883200, 477.397135
mod2, 1.727488, 296.102542, 1.915904, 266.982891, 1.239040, 412.830573
mono_500Hz, 22.681601, 568.429783, 24.083456, 535.342488, 17.537024, 735.181614
mouse_gene, 97.015808, 764.373007, 123.961342, 598.220896, 106.613762, 695.559969
mri1, 3.645440, 414.202236, 4.103168, 367.996006, 2.659328, 567.793611
mri2, 3.394560, 429.230757, 3.428352, 424.999985, 2.443264, 596.353728
ms2010, 8.351744, 257.473035, 7.149568, 300.766253, 4.592640, 468.216284
msc10848, 3.759104, 837.495230, 4.943872, 636.794742, 3.647488, 863.123218
msc23052, 3.697664, 799.511211, 4.319232, 684.455905, 3.684352, 802.399962
msdoor, 63.911938, 810.752974, 75.323395, 687.924300, 68.889603, 752.171469
mt2010, 6.244352, 261.835034, 5.360640, 304.999042, 3.618816, 451.802503
mult_dcop_01, 33.219585, 14.894423, 1.777664, 278.335262, 1.411072, 350.645860
mult_dcop_02, 33.199104, 14.903612, 1.777664, 278.335262, 1.422336, 347.868975
mult_dcop_03, 33.063934, 14.959894, 1.780736, 277.768837, 1.434624, 344.782309
n4c6-b10, 7.838720, 475.644033, 9.653248, 386.236879, 6.264832, 595.138115
n4c6-b11, 4.398080, 483.597220, 5.540864, 383.856959, 4.042752, 526.101851
n4c6-b12, 2.035712, 418.592806, 2.578432, 330.485494, 1.979392, 430.503093
n4c6-b5, 2.201600, 361.486034, 2.102272, 378.565508, 1.622016, 490.653423
n4c6-b6, 4.383744, 425.604438, 4.766720, 391.409789, 3.297280, 565.842379
n4c6-b7, 7.181312, 465.464133, 8.611840, 388.145054, 5.288960, 632.003875
n4c6-b8, 10.755072, 426.081848, 11.632640, 393.938164, 7.719936, 593.598297
n4c6-b9, 10.474496, 455.953666, 12.145664, 393.217260, 7.987200, 597.942324
nasasrb, 8.649728, 792.389030, 9.773056, 701.310769, 8.453120, 810.818875
nc2010, 14.182400, 255.707586, 11.278336, 321.549858, 7.660544, 473.405967
ncvxbqp1, 2.678784, 334.449555, 3.068928, 291.931932, 1.963008, 456.400615
ncvxqp3, 3.791872, 337.539830, 4.487168, 285.237345, 2.984960, 428.785580
ncvxqp5, 3.233792, 336.420196, 3.841024, 283.235143, 2.521088, 431.525202
ncvxqp7, 4.495360, 327.427115, 5.276672, 278.945281, 3.524608, 417.607508
nd12k, 50.314240, 723.564981, 60.071938, 606.033753, 36.099072, 1008.491915
nd2010, 6.207488, 258.143350, 5.328896, 300.704263, 3.493888, 458.635710
nd24k, 102.703102, 715.772178, 123.656189, 594.487212, 73.217026, 1004.029080
nd6k, 24.055807, 734.006923, 28.678144, 615.699840, 17.627136, 1001.701509
ne2010, 9.057280, 258.296790, 7.528448, 310.750132, 4.938752, 473.695816
neos, 16.294912, 239.865828, 14.345216, 272.466632, 9.543680, 409.547739
neos1, 5.224448, 293.801439, 4.429824, 346.503708, 3.185664, 481.830610
neos2, 5.318656, 329.749232, 4.609024, 380.519325, 3.287040, 533.556854
neos3, 19.620865, 268.125869, 16.109568, 326.567513, 9.678848, 543.542093
net100, 6.392832, 814.191920, 8.799232, 591.528020, 6.268928, 830.284214
net125, 8.235008, 801.168840, 11.326464, 582.497077, 8.093696, 815.156919
net150, 9.751552, 819.384679, 13.626368, 586.383125, 9.650176, 827.992356
net4-1, 15.409152, 405.656399, 12.442624, 502.371612, 8.794112, 710.796152
net50, 3.110912, 777.814330, 4.092928, 591.193405, 2.955264, 818.780293
net75, 4.769792, 799.270060, 6.374400, 598.072276, 4.619264, 825.315872
netherlands_osm, 75.549698, 165.442602, 62.002174, 201.591939, 41.118721, 303.976832
nh2010, 2.193408, 273.751166, 2.254848, 266.292007, 1.463296, 410.339383
nj2010, 8.088576, 262.663618, 7.213056, 294.545709, 4.515840, 470.471650
nlpkkt120, 330.085388, 751.094221, 428.198914, 578.995461, 256.226318, 967.602505
nlpkkt80, 96.722946, 759.736580, 120.251389, 611.086169, 76.097534, 965.654947
nm2010, 8.182784, 259.970589, 7.085056, 300.249321, 4.628480, 459.607305
nmos3, 1.790976, 552.592896, 1.973248, 501.549039, 1.517568, 652.149126
ns3Da, 6.243328, 688.698940, 7.438336, 578.055831, 6.501376, 661.363585
nsct, 3.194880, 559.084934, 3.535872, 505.167972, 2.884608, 619.220796
nug08-3rd, 0.977920, 388.523562, 1.349632, 281.517446, 0.856064, 443.827740
nv2010, 3.938304, 271.059546, 3.655680, 292.015411, 2.465792, 432.929828
ny2010, 16.954369, 258.130087, 13.588480, 322.069329, 9.024512, 484.949491
obstclae, 1.755136, 288.226369, 1.816576, 278.478015, 1.125376, 449.517749
offshore, 22.117376, 491.072843, 23.015425, 471.911468, 14.918656, 728.030905
oh2010, 17.712128, 255.570335, 14.057472, 322.013398, 9.405440, 481.284686
ohne2, 37.968895, 745.944153, 47.638527, 594.532976, 36.585472, 774.150874
oilpan, 11.611136, 793.100773, 12.802048, 719.322524, 12.718080, 724.071683
ok2010, 12.806144, 254.707345, 10.390528, 313.922350, 6.931456, 470.582059
olafu, 3.382272, 768.359066, 3.808256, 682.411955, 3.181568, 816.829763
olesnik0, 4.632576, 411.259948, 4.811776, 395.943805, 3.062784, 622.046147
onera_dual, 3.651584, 293.887416, 3.481600, 308.236025, 2.251776, 476.581405
onetone1, 2.130944, 409.764534, 2.268160, 384.975152, 1.549312, 563.595507
onetone2, 1.656832, 351.711994, 1.822720, 319.702238, 1.188864, 490.155042
opt1, 5.487616, 900.660094, 7.646208, 646.395824, 5.479424, 902.006634
or2010, 9.634816, 260.259322, 7.924736, 316.420725, 5.381120, 465.990468
p010, 2.015232, 149.898368, 1.064960, 283.653845, 1.094656, 275.958842
p2p-Gnutella31, 2.018304, 187.584972, 1.975296, 191.669257, 1.416192, 267.339108
pa2010, 20.592640, 255.900299, 16.552959, 318.351696, 10.872832, 484.663294
packing-500x100x100-b050, 169.058304, 529.638605, 176.199677, 508.172353, 108.231682, 827.297540
para-10, 26.704897, 519.225988, 26.159103, 530.059317, 20.032513, 692.168612
para-4, 24.794111, 549.934762, 25.724928, 530.036225, 19.660801, 693.519238
para-5, 26.781696, 517.737051, 26.155008, 530.142308, 20.024321, 692.451782
para-6, 26.747904, 518.391145, 26.159103, 530.059317, 20.023296, 692.487203
para-7, 26.770432, 517.954911, 26.170368, 529.831158, 20.024321, 692.451782
para-8, 26.732544, 518.689000, 26.301439, 527.190787, 20.025345, 692.416365
para-9, 26.765312, 518.053979, 26.276863, 527.683857, 20.027391, 692.345607
parabolic_fem, 27.652096, 340.192659, 35.063808, 268.283464, 24.464384, 384.519797
patents, 179.833862, 213.114277, 173.633530, 220.724440, 128.205826, 298.934649
patents_main, 8.414208, 170.665380, 6.621184, 216.881770, 4.570112, 314.218559
pattern1, 26.059776, 915.893738, 38.248447, 624.024961, 31.572992, 755.962111
pcrystk02, 2.917376, 849.932420, 3.739648, 663.049680, 2.903040, 854.129650
pcrystk03, 5.085184, 881.583753, 6.734848, 665.644669, 5.133312, 873.318334
pct20stif, 8.601600, 803.114017, 9.841664, 701.920433, 8.621056, 801.301557
pdb1HYS, 12.297216, 904.480984, 17.184769, 647.235852, 12.071936, 921.359981
pds-100, 10.811392, 259.519326, 10.485760, 267.578620, 7.667712, 365.919461
pds-30, 3.403776, 256.193597, 3.506176, 248.711303, 2.497536, 349.154374
pds-40, 4.616192, 258.873122, 4.603904, 259.564070, 3.352576, 356.444714
pds-50, 5.839872, 259.000970, 5.646336, 267.878578, 4.184064, 361.498417
pds-60, 7.046144, 261.428934, 6.777856, 271.777086, 5.125120, 359.419069
pds-70, 8.157184, 261.569494, 7.696384, 277.230244, 5.805056, 367.553795
pds-80, 9.110528, 260.713162, 8.520704, 278.760357, 6.476800, 366.729646
pds-90, 10.017792, 259.157729, 9.279488, 279.777103, 7.084032, 366.484530
pds10, 0.892928, 429.065365, 1.142784, 335.255377, 0.799744, 479.058893
pfinan512, 4.088832, 373.774114, 4.069376, 375.561148, 2.681856, 569.866379
pkustk01, 3.353600, 747.618315, 3.910656, 641.123335, 3.100672, 808.603037
pkustk02, 2.462720, 841.995870, 3.215360, 644.904473, 2.396160, 865.384656
pkustk03, 9.320448, 859.815432, 11.513856, 696.019214, 9.473024, 845.966890
pkustk04, 15.176704, 711.601762, 15.970304, 676.240722, 12.594176, 857.520917
pkustk05, 6.768640, 834.018149, 8.791040, 642.150231, 7.017472, 804.444793
pkustk06, 7.825408, 841.326880, 10.218496, 644.294999, 8.162304, 806.601438
pkustk07, 6.697984, 924.477878, 9.463808, 654.296685, 6.952960, 890.575845
pkustk08, 8.926208, 925.396113, 12.585984, 656.307652, 9.349120, 883.535310
pkustk09, 4.928512, 822.584650, 5.893120, 687.940943, 4.855808, 834.900923
pkustk10, 12.505088, 882.120875, 15.197184, 725.858114, 12.732416, 866.371230
pkustk11, 15.625216, 854.890910, 20.669439, 646.261106, 16.340992, 817.444543
pkustk12, 23.271423, 826.401172, 27.903999, 689.203411, 22.582272, 851.620771
pkustk13, 19.893248, 851.498833, 25.356289, 668.042440, 21.495808, 788.017710
pkustk14, 41.090050, 924.346660, 56.343552, 674.104652, 43.288574, 877.401276
pli, 4.836352, 714.751766, 5.576704, 619.862740, 4.641792, 744.710485
pltexpa, 1.362944, 268.705859, 1.681408, 217.812113, 1.074176, 340.941387
poisson3Da, 1.548288, 583.270507, 1.908736, 473.125002, 1.482752, 609.050429
poisson3Db, 11.176960, 543.964499, 13.537280, 449.120459, 9.831424, 618.411899
pre2, 38.349823, 397.805276, 31.891457, 478.365166, 25.641985, 594.952456
preferentialAttachment, 6.560768, 390.186507, 7.894016, 324.286557, 5.338112, 479.555929
psse0, 0.875520, 299.508775, 1.035264, 253.293765, 0.548864, 477.761188
psse2, 0.977920, 301.732986, 1.141760, 258.434979, 0.659456, 447.445642
pwt, 2.006016, 416.165132, 2.166784, 385.287090, 1.454080, 574.132048
pwtk, 33.764351, 882.117519, 39.805950, 748.232998, 34.360321, 866.817438
qa8fk, 6.104064, 696.434744, 6.912000, 615.029243, 4.879360, 871.237635
qa8fm, 6.107136, 696.084449, 6.899712, 616.124584, 4.885504, 870.142045
raefsky3, 4.258816, 894.907479, 6.184960, 616.211932, 4.837376, 787.874663
raefsky4, 4.021248, 845.818083, 5.125120, 663.641837, 4.070400, 835.604354
rail_20209, 1.026048, 347.387743, 1.182720, 301.370144, 0.768000, 464.109996
rail_79841, 4.044800, 350.582928, 3.900416, 363.560655, 2.582528, 549.088992
rajat09, 1.055744, 255.996593, 1.333248, 202.713131, 0.697344, 387.566076
rajat10, 1.277952, 261.023647, 1.456128, 229.084036, 0.827392, 403.165232
rajat15, 5.660672, 200.602833, 2.682880, 423.256691, 1.901568, 597.163418
rajat16, 47.131649, 34.825156, 4.491264, 365.457717, 3.248128, 505.327090
rajat17, 46.623745, 35.204530, 4.474880, 366.795749, 3.253248, 504.531795
rajat18, 46.225407, 26.867607, 3.997696, 310.670472, 2.693120, 461.162547
rajat20, 46.682114, 33.180057, 4.253696, 364.133970, 3.035136, 510.328107
rajat21, 188.140549, 25.762799, 15.588352, 310.939036, 9.945088, 487.378997
rajat22, 6.394880, 78.968777, 1.832960, 275.508378, 1.572864, 321.067697
rajat23, 8.784896, 162.296890, 4.169728, 341.931500, 3.141632, 453.828215
rajat24, 168.224762, 29.647726, 14.650368, 340.433885, 10.128384, 492.426213
rajat25, 46.819328, 33.202561, 4.239360, 366.687814, 3.052544, 509.254425
rajat26, 6.691840, 95.371841, 2.205696, 289.347711, 1.678336, 380.265400
rajat28, 46.896130, 33.148185, 4.238336, 366.776388, 3.048448, 509.938682
rajat29, 726.418457, 17.149414, 37.883904, 328.837581, 25.125889, 495.809374
rajat30, 733.550598, 21.551295, 44.302338, 356.842685, 30.467072, 518.886927
rajat31, -1.000000, -52009.607680, 165.716995, 313.845949, 104.249344, 498.896259
ramage02, 7.970816, 920.590940, 11.673600, 628.585954, 8.530944, 860.146454
rel8, 8.953856, 234.972254, 6.324224, 332.674466, 5.168128, 407.092826
rel9, 273.600525, 221.446901, 205.386749, 294.994632, 159.309830, 380.315443
relat8, 10.493952, 325.438628, 8.474624, 402.983945, 5.524480, 618.182591
relat9, 377.307129, 264.309544, 310.498291, 321.180110, 173.171707, 575.878571
rgg_n_2_15_s0, 1.926144, 425.943646, 2.211840, 370.925940, 1.452032, 565.021168
rgg_n_2_16_s0, 4.150272, 422.066382, 4.238336, 413.296682, 2.802688, 625.003680
rgg_n_2_17_s0, 9.135104, 408.448036, 8.561664, 435.804947, 5.837824, 639.144901
rgg_n_2_18_s0, 19.552256, 405.175194, 17.676289, 448.176036, 11.722752, 675.787496
rgg_n_2_19_s0, 41.472000, 403.674814, 36.969471, 452.838558, 24.381439, 686.637150
rgg_n_2_20_s0, 88.090622, 400.554493, 77.161469, 457.289047, 51.085312, 690.709190
rgg_n_2_21_s0, 186.347519, 398.065586, 159.667206, 464.582154, 106.861565, 694.155421
rgg_n_2_22_s0, 394.857483, 393.658726, 336.775177, 461.551517, 222.568451, 698.387813
ri2010, 1.101824, 292.170062, 1.568768, 205.205610, 0.866304, 371.601663
rim, 3.709952, 700.352586, 3.982336, 652.449851, 3.680256, 706.003777
rlfprim, 2.541568, 322.915990, 2.520064, 325.671460, 1.613824, 508.551710
rma10, 7.545856, 805.401344, 9.061376, 670.697565, 7.525376, 807.593227
roadNet-CA, 70.930435, 199.703101, 56.996864, 248.522932, 37.917698, 373.572992
roadNet-PA, 39.299072, 200.883057, 31.555584, 250.178155, 20.849665, 378.640035
roadNet-TX, 49.798145, 197.575615, 39.657471, 248.096992, 26.725376, 368.148203
