Dataset,ASpT,Sputnik,RoDe
TSOPF_FS_b162_c1,5.367808,0.421888,0.055296
TSOPF_FS_b162_c3,12.116992,0.417408,0.058368
TSOPF_FS_b162_c4,8.623104,0.918464,0.060416
TSOPF_FS_b300,24.609793,0.404608,0.063488
TSOPF_FS_b300_c1,24.711168,0.394656,0.062464
TSOPF_FS_b300_c2,44.576767,0.838848,0.080896
TSOPF_FS_b300_c3,64.600067,0.632896,0.093184
TSOPF_FS_b39_c19,13.268992,0.418528,0.063488
TSOPF_FS_b39_c30,11.040768,0.914304,0.068608
TSOPF_FS_b39_c7,9.494528,0.432704,0.066560
TSOPF_FS_b9_c6,2.457600,0.399360,0.054272
TSOPF_RS_b162_c3,4.466688,0.399360,0.054272
TSOPF_RS_b162_c4,4.423680,0.409728,0.056320
TSOPF_RS_b2052_c1,12.019712,0.409568,0.060416
TSOPF_RS_b2383,14.905344,0.629792,0.062464
TSOPF_RS_b2383_c1,14.922752,0.617536,0.063488
TSOPF_RS_b300_c1,6.166528,0.394240,0.054272
TSOPF_RS_b300_c2,6.848512,0.390176,0.055296
TSOPF_RS_b300_c3,8.472576,0.914624,0.063488
TSOPF_RS_b39_c19,0.093120,0.397472,0.056320
TSOPF_RS_b39_c30,0.099328,0.909632,0.059392
TSOPF_RS_b39_c7,0.091328,0.378880,0.052224
TSOPF_RS_b678_c1,12.048384,0.382208,0.058368
TSOPF_RS_b678_c2,11.342848,0.401600,0.059392
Transport,0.265344,3.519360,0.125952
Trefethen_20000,0.093248,0.397792,0.055296
Trefethen_20000b,0.091040,0.397920,0.054272
Wordnet3,0.076352,0.980256,0.058368
Zd_Jac2,13.182976,0.418176,0.055296
Zd_Jac2_db,4.574208,0.427744,0.055296
Zd_Jac3,5.867520,0.420480,0.054272
Zd_Jac3_db,4.595712,0.423104,0.055296
Zd_Jac6,5.722112,0.421376,0.054272
Zd_Jac6_db,4.599808,0.422784,0.056320
Zhao1,0.071520,0.398144,0.055296
Zhao2,0.072288,0.398848,0.053248
a0nsdsil,0.166912,0.949600,0.062464
a2nnsnsl,0.168960,0.916736,0.061440
a5esindl,0.187392,0.908800,0.058368
adaptive,0.439520,5.770592,0.368640
af23560,0.111520,0.400384,0.054272
af_0_k101,0.197600,1.404032,0.086016
af_1_k101,0.198016,1.388608,0.086016
af_2_k101,0.193728,1.409920,0.086016
af_3_k101,0.202368,1.410720,0.087040
af_4_k101,0.199936,1.404256,0.084992
af_5_k101,0.200000,1.405280,0.087040
af_shell1,0.205600,1.429504,0.086016
af_shell10,0.390848,2.070624,0.128000
af_shell2,0.197280,1.417536,0.084992
af_shell3,0.199264,1.411488,0.084992
af_shell4,0.199328,5.307712,0.104448
af_shell5,0.198592,11.087456,0.105472
af_shell6,0.343136,1.424256,0.086016
af_shell7,0.201312,1.437472,0.086016
af_shell8,0.199072,8.107488,0.095232
af_shell9,0.199136,1.473888,0.102400
airfoil_2d,0.080736,0.384000,0.052224
ak2010,0.074656,0.973952,0.055296
al2010,0.087840,6.071392,0.071680
amazon-2008,0.133536,2.575680,0.108544
amazon0302,0.087584,0.947680,0.069632
amazon0312,0.096512,1.539680,0.103424
amazon0505,0.108352,1.638400,0.080896
amazon0601,0.112672,1.414240,0.130048
apache1,0.076768,0.402240,0.060416
apache2,0.122944,1.367744,0.099328
appu,0.204800,0.401408,0.056320
ar2010,0.076960,4.422240,0.065536
as-Skitter,32.525311,1.542752,0.131072
as-caida,0.116736,0.965216,0.057344
astro-ph,0.121856,0.444224,0.052224
atmosmodd,0.169824,1.460928,0.112640
atmosmodj,0.166720,1.623232,0.121856
atmosmodl,0.174848,1.488256,0.119808
atmosmodm,0.179872,1.482400,0.131072
audikw_1,31.898624,2.107200,0.100352
aug3dcqp,0.070272,0.401472,0.054272
auto,0.130112,1.693120,0.083968
av41092,6.436864,0.409472,0.055296
az2010,0.085152,0.899392,0.072704
barrier2-1,0.194560,0.895360,0.068608
barrier2-10,0.205824,0.905760,0.066560
barrier2-11,0.205824,0.912224,0.067584
barrier2-12,0.209920,1.017984,0.080896
barrier2-2,0.192512,0.906112,0.068608
barrier2-3,0.191488,0.892448,0.066560
barrier2-4,0.207872,0.899008,0.066560
barrier2-9,0.205824,0.910688,0.067584
bauru5727,0.073856,0.395552,0.053248
baxter,0.173056,0.900032,0.053248
bayer01,0.076576,0.402816,0.057344
bayer04,0.071232,0.393632,0.052224
bbmat,0.167936,0.410880,0.055296
bcircuit,0.079776,0.402176,0.058368
bcsstk17,4.204544,0.409600,0.054272
bcsstk18,0.076416,0.393216,0.052224
bcsstk25,0.080736,0.379904,0.052224
bcsstk29,4.338688,0.398336,0.057344
bcsstk30,9.328640,0.408128,0.055296
bcsstk31,11.009024,0.421728,0.055296
bcsstk32,5.475328,0.907296,0.057344
bcsstk35,10.193920,0.407808,0.054272
bcsstk36,4.587520,0.423392,0.055296
bcsstk37,4.469760,0.490464,0.055296
bcsstk39,5.178656,0.901536,0.056320
bcsstm36,0.082720,0.461952,0.245760
belgium_osm,0.141280,1.451072,0.119808
bfly,0.076448,0.367200,0.054272
blockqp1,12.515328,0.911968,0.064512
bloweya,0.156672,0.413280,0.053248
bloweybl,0.155648,0.414528,0.053248
bmw3_2,20.264959,0.914816,0.075776
bmw7st_1,9.604096,0.909120,0.068608
bmwcra_1,11.120640,1.136352,0.067584
bodyy4,0.072448,0.384480,0.052224
bodyy5,0.070336,0.386368,0.054272
bodyy6,0.072160,0.386528,0.053248
bone010,30.663679,2.589088,0.173056
boneS01,9.108480,0.914592,0.067584
boneS10,24.883200,4.940352,0.100352
boyd1,8.718336,0.920096,0.072704
boyd2,6.801408,1.398752,0.083968
brack2,0.086656,0.889696,0.058368
brainpc2,3.333120,0.405952,0.054272
bratu3d,0.073472,0.387936,0.053248
bundle1,8.247296,0.411648,0.054272
bundle_adj,26.884096,1.303680,0.112640
c-42,0.192512,0.401408,0.051200
c-43,2.577408,0.406528,0.052224
c-45,3.988480,0.394240,0.051200
c-46,3.528704,0.391168,0.051200
c-47,3.410944,0.389120,0.052224
c-48,0.164864,0.400352,0.050176
c-49,0.130048,0.406464,0.052224
c-50,2.836480,0.412000,0.052224
c-51,0.146432,0.417760,0.052224
c-52,0.140288,0.412160,0.053248
c-53,5.392384,0.425216,0.067584
c-54,4.439040,0.410784,0.055296
c-55,0.157696,0.410848,0.056320
c-56,5.718016,0.418272,0.056320
c-57,5.437440,0.415008,0.056320
c-58,4.806656,0.417984,0.055296
c-59,0.159744,0.403456,0.056320
c-60,0.141312,0.413568,0.058368
c-61,0.144384,0.410624,0.058368
c-62,0.160768,0.426528,0.055296
c-62ghs,0.159744,0.419104,0.057344
c-63,0.149504,0.412384,0.057344
c-64,7.051264,0.916224,0.059392
c-64b,6.993920,0.918912,0.059392
c-65,0.143360,0.420256,0.056320
c-66,5.071872,0.952960,0.059392
c-66b,4.743168,0.978720,0.057344
c-67,5.070848,0.917120,0.062464
c-67b,5.108736,0.911136,0.058368
