Dataset,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
12month1, 212.924423, 68.004530, 74.391556, 194.643399, 24.488960, 591.279708
144, 3.040256, 452.337905, 6.051840, 227.240489, 2.215936, 620.605953
192bit, 0.257024, 384.220632, 0.582656, 169.489228, 0.238592, 413.902899
208bit, 0.385024, 498.264613, 0.795648, 241.116480, 0.379904, 504.979782
2D_27628_bjtcai, 0.529408, 535.418301, 0.985088, 287.745585, 0.512000, 553.622474
2D_54019_highK, 3.045376, 209.401055, 2.165760, 294.448576, 1.034240, 616.592817
2cubes_sphere, 1.913856, 550.850714, 3.920896, 268.879599, 1.642496, 641.857859
333SP, 44.186623, 321.795362, 71.220222, 199.649057, 36.277248, 391.955037
3D_28984_Tetra, 5.548032, 69.117989, 1.217536, 314.954801, 0.862208, 444.752074
3D_51448_3D, 8.922112, 75.792633, 2.366464, 285.755637, 1.120256, 603.639197
3Dspectralwave, 32.821247, 656.171805, 63.689728, 338.145219, 31.713280, 679.096490
3Dspectralwave2, 13.773824, 665.505551, 27.645952, 331.569558, 13.570048, 675.499153
3dtube, 5.475328, 375.633301, 5.331968, 385.732920, 3.004416, 684.564164
598a, 1.900544, 499.686141, 4.380672, 216.787635, 1.644544, 577.470422
ABACUS_shell_hd, 0.350208, 399.276300, 0.723968, 193.143557, 0.347136, 402.809745
ABACUS_shell_ld, 0.345088, 405.200291, 0.756736, 184.780113, 0.345088, 405.200291
ABACUS_shell_md, 0.347136, 402.809745, 0.742400, 188.348278, 0.345088, 405.200291
ABACUS_shell_ud, 0.347136, 402.809745, 0.754688, 185.281541, 0.345088, 405.200291
AS365, 52.887550, 275.133508, 78.014465, 186.518452, 42.717182, 340.638978
ASIC_100k, 217.591812, 2.806467, 3.348480, 182.370605, 1.420288, 429.958103
ASIC_100ks, 1.284096, 288.521730, 1.969152, 188.146778, 0.932864, 397.152850
ASIC_320k, 524.220398, 3.217412, 9.765888, 172.706560, 3.429376, 491.819216
ASIC_320ks, 3.681280, 317.768959, 5.182464, 225.722060, 2.550784, 458.602700
ASIC_680k, 1039.222778, 2.384411, 15.749120, 157.337982, 6.376448, 388.607366
ASIC_680ks, 5.843968, 255.078854, 7.973888, 186.944268, 4.396032, 339.095050
Andrews, 1.040384, 467.614395, 2.192384, 221.903900, 0.941056, 516.970885
Baumann, 1.081344, 450.184064, 2.253824, 215.990175, 0.945152, 515.053502
BenElechi1, 9.864192, 853.219142, 21.698561, 387.874456, 10.925056, 770.368325
Bump_2911, 99.443710, 822.044301, 215.666687, 379.043869, 114.097153, 716.469547
CO, 6.992896, 701.608665, 15.757312, 311.365069, 8.050688, 609.423270
Chebyshev4, 128.430084, 26.798760, 14.022656, 245.443298, 4.555776, 755.473261
Chevron1, 0.479232, 441.550469, 0.994304, 212.817327, 0.470016, 450.208331
Chevron2, 1.069056, 480.826733, 2.230272, 230.478931, 1.003520, 512.227672
Chevron3, 3.993600, 546.973252, 8.016896, 272.473567, 3.785728, 577.007205
Chevron4, 7.267328, 561.541161, 13.933568, 292.882891, 6.971392, 585.378586
CoupCons3D, 16.752640, 852.778740, 38.602753, 370.084879, 20.513792, 696.423899
Cube_Coup_dt0, 94.744576, 859.278030, 214.139908, 380.181037, 113.640450, 716.399244
Cube_Coup_dt6, 93.578239, 869.987859, 214.010880, 380.410250, 113.653763, 716.315326
CurlCurl_0, 0.215040, 337.330360, 0.523264, 138.628916, 0.199680, 363.278845
CurlCurl_1, 2.980864, 530.760684, 5.415936, 292.124102, 2.499584, 632.955510
CurlCurl_2, 10.335232, 552.473818, 18.314240, 311.776253, 8.561664, 666.920030
CurlCurl_3, 15.541248, 557.777300, 27.416576, 316.179358, 12.914688, 671.216792
CurlCurl_4, 30.270464, 560.617601, 54.603775, 310.787210, 25.164801, 674.360791
D6-6, 0.627712, 149.755299, 1.351680, 69.545452, 0.427008, 220.143883
Delor295K, 2.847744, 539.671658, 6.173696, 248.934627, 2.657280, 578.353331
Delor338K, 4.584448, 587.949398, 8.293376, 325.009184, 4.227072, 637.657346
Delor64K, 0.869376, 480.079503, 2.145280, 194.552516, 0.811008, 514.630697
Dubcova1, 0.337920, 479.183698, 0.695296, 232.887522, 0.323584, 500.413385
Dubcova2, 1.146880, 574.902328, 2.478080, 266.070503, 1.101824, 598.411337
Dubcova3, 3.339264, 696.996529, 10.536960, 220.884908, 3.316736, 701.730669
EAT_RS, 1.708032, 121.999400, 0.896000, 232.565707, 0.718848, 289.878921
EAT_SR, 0.449536, 463.537875, 0.893952, 233.096360, 0.421888, 493.915359
ESOC, 5.542912, 695.078860, 10.045440, 383.533331, 5.184512, 743.128930
Emilia_923, 31.784960, 825.652510, 69.625854, 376.919350, 36.500481, 718.985925
EternityII_E, 121.013245, 7.952753, 4.561920, 210.961272, 2.786304, 345.399670
EternityII_Etilde, 3.871744, 193.486516, 3.430400, 218.379857, 2.315264, 323.561479
F1, 20.155392, 852.166635, 52.956161, 324.339073, 23.361536, 735.215026
F2, 4.125696, 821.277731, 9.958400, 340.249686, 4.657152, 727.556728
FEM_3D_thermal1, 0.454656, 606.334453, 0.910336, 302.826203, 0.457728, 602.265103
FEM_3D_thermal2, 3.232768, 690.786335, 6.523904, 342.303022, 3.102720, 719.740094
Fault_639, 22.310911, 820.823534, 48.564224, 377.094893, 25.854977, 708.309321
Flan_1565, 86.139900, 872.300386, 191.966202, 391.422383, 93.582336, 802.927892
Franz11, 0.476160, 443.182805, 1.055744, 199.883598, 0.448512, 470.502296
Freescale1, 37.685249, 321.319941, 57.982975, 208.837544, 31.704063, 381.939120
Freescale2, 109.561859, 134.602620, 59.771904, 246.726510, 30.468096, 484.024777
FullChip, 6081.361816, 2.801687, 91.289597, 186.637626, 38.705151, 440.201713
G2_circuit, 1.323008, 351.525751, 2.685952, 173.149546, 1.153024, 403.349260
G3_circuit, 13.093888, 374.444056, 22.403072, 218.850726, 11.427840, 429.033705
GL7d14, 2.173952, 539.090589, 4.960256, 236.269478, 1.915904, 611.699277
GL7d15, 7.262208, 535.848580, 17.025024, 228.571998, 6.549504, 594.158574
GL7d16, 22.976513, 403.580991, 42.369022, 218.859991, 21.415936, 432.989903
GL7d17, 46.488575, 357.635886, 77.731842, 213.888958, 45.156353, 368.187013
GL7d18, 67.958786, 335.172933, 107.296768, 212.289205, 66.115585, 344.517038
GL7d19, 71.693314, 333.176733, 112.515076, 212.296387, 70.960129, 336.619231
GL7d20, 57.808895, 330.945155, 89.490433, 213.783453, 56.466431, 338.813230
GL7d21, 34.233345, 339.781461, 54.019073, 215.328684, 32.783360, 354.809762
GL7d22, 13.807616, 382.444001, 24.393728, 216.475315, 13.348864, 395.587232
GL7d23, 4.071424, 423.703156, 7.990272, 215.896929, 3.460096, 498.562831
GL7d24, 2.267136, 167.652432, 1.862656, 204.058549, 0.995328, 381.874996
G_n_pin_pout, 1.435648, 446.859854, 3.229696, 198.635857, 1.222656, 524.704769
Ga10As10H30, 5.207040, 751.675663, 11.687936, 334.875651, 6.382592, 613.231270
Ga19As19H42, 7.091200, 801.880790, 16.310272, 348.632867, 8.981504, 633.111858
Ga3As3H12, 5.948416, 642.424123, 10.384384, 367.995446, 5.641216, 677.408242
Ga41As41H72, 14.896128, 794.342320, 34.584576, 342.135892, 18.714624, 632.266210
