Dataset,no_blocksplit_time,no_blockSplit_gflops,No_pipeline_time,No_pipeline_time,complete_time,complete_gflops
GL7d18, 274.767883, 331.595459, 274.831360, 331.518872, 274.820099, 331.532456
GL7d19, 290.322418, 329.103679, 290.330627, 329.094374, 290.322418, 329.103679
GL7d20, 230.618118, 331.831235, 230.582275, 331.882817, 230.704132, 331.707518
GL7d21, 136.245255, 341.497575, 136.195068, 341.623412, 136.655869, 340.471467
GL7d22, 57.851906, 365.114333, 57.814014, 365.353629, 57.917439, 364.701212
GL7d23, 15.843328, 435.533531, 15.880192, 434.522510, 15.758336, 437.882577
GL7d24, 6.306816, 241.066728, 5.160960, 294.589274, 2.893824, 525.382147
G_n_pin_pout, 4.665344, 550.041675, 4.643840, 552.588774, 4.621312, 555.282500
Ga10As10H30, 20.049919, 780.852051, 18.971647, 825.232531, 21.972992, 712.512002
Ga19As19H42, 27.359232, 831.353303, 26.655745, 853.294036, 31.172607, 729.653042
Ga3As3H12, 20.550655, 743.802280, 18.182144, 840.694265, 19.485697, 784.453565
Ga41As41H72, 56.346622, 839.988210, 56.213505, 841.977364, 65.329155, 724.492741
GaAsH6, 13.821952, 626.353725, 11.258880, 768.942497, 11.786240, 734.537165
Ge87H76, 24.119295, 837.670384, 24.126465, 837.421451, 27.718657, 728.896048
Ge99H100, 25.631744, 844.092812, 25.627647, 844.227754, 29.378559, 736.440855
Geo_1438, 198.909958, 812.835758, 198.874115, 812.982255, 199.574524, 810.129085
H2O, 8.065024, 703.636331, 8.086528, 701.765243, 8.044544, 705.427679
HEP-th-new, 2.849792, 316.930470, 2.805760, 321.904208, 1.634304, 552.642528
HTC_336_4438, 27.199488, 85.133086, 7.704576, 300.545587, 6.809600, 340.045871
HTC_336_9129, 27.080704, 83.511874, 7.669760, 294.867147, 6.798336, 332.663803
HV15R, 756.035583, 958.510510, 756.442139, 957.995351, 802.771973, 902.707216
Hamrle3, 35.747841, 394.889850, 35.785728, 394.471767, 35.734528, 395.036970
Hook_1498, 185.554947, 840.444633, 185.611267, 840.189616, 197.782532, 788.485504
IG5-15, 1.512448, 547.577877, 1.436672, 576.459384, 1.196032, 692.442182
IG5-16, 2.255872, 667.641849, 2.165760, 695.420791, 2.186240, 688.906336
IG5-17, 3.782656, 700.465628, 3.802112, 696.881209, 3.895296, 680.210288
IG5-18, 6.433792, 712.434334, 6.446080, 711.076228, 6.793216, 674.739953
IMDB, 25.430016, 380.774650, 25.439232, 380.636700, 25.261057, 383.321463
Ill_Stokes, 1.198080, 408.906002, 1.067008, 459.136268, 1.146880, 427.160703
JP, 44.000256, 799.096973, 44.036095, 798.446622, 44.201984, 795.450058
LargeRegFile, 33.314816, 379.925699, 33.314816, 379.925699, 33.269760, 380.440211
LeGresley_87936, 2.933760, 517.692857, 2.900992, 523.540432, 2.877440, 527.825627
Lin, 6.847488, 660.385830, 6.842368, 660.879964, 6.815744, 663.461546
Linux_call_graph, 7.771136, 398.243520, 7.768064, 398.401001, 7.759872, 398.821591
Long_Coup_dt0, 227.989502, 977.886340, 228.264954, 976.706306, 266.355713, 837.030365
Long_Coup_dt6, 228.025345, 977.732627, 228.262909, 976.715054, 266.379272, 836.956335
M6, 152.282104, 353.094098, 152.290298, 353.075100, 152.285187, 353.086951
ML_Geer, 314.147827, 903.564194, 314.586121, 902.305314, 329.634827, 861.112678
ML_Laplace, 78.259201, 905.789062, 78.316544, 905.125853, 82.050049, 863.940111
Maragal_6, 18.049025, 76.264323, 2.887680, 476.679069, 2.419712, 568.867949
Maragal_7, 33.957890, 90.505469, 5.483520, 560.474787, 4.797440, 640.628061
Maragal_8, 25.481216, 131.451432, 6.269952, 534.221394, 5.075968, 659.882517
NACA0015, 44.607487, 357.515505, 44.555264, 357.934549, 44.549122, 357.983895
NLR, 180.335617, 354.552463, 180.262909, 354.695470, 180.267014, 354.687393
NotreDame_actors, 10.724352, 350.998763, 10.703872, 351.670343, 10.444800, 360.393124
NotreDame_www, 6.183936, 384.934998, 6.192128, 384.425737, 6.146048, 387.307976
OPF_10000, 1.904640, 628.643831, 1.886208, 634.786897, 1.846272, 648.517751
OPF_3754, 0.716800, 565.260734, 0.741376, 546.522803, 0.729088, 555.733842
OPF_6000, 1.270784, 609.222391, 1.280000, 604.836014, 1.288192, 600.989650
PFlow_742, 120.783875, 787.145308, 120.850433, 786.711785, 131.120132, 725.094296
PR02R, 26.132481, 801.835404, 26.185728, 800.204909, 27.840511, 752.642361
Pres_Poisson, 2.236416, 819.372673, 2.237440, 818.997672, 2.317312, 790.768890
RFdevice, 2.762752, 338.750920, 2.746368, 340.771821, 2.234368, 418.858829
RM07R, 99.439613, 964.508001, 99.474434, 964.170380, 107.777023, 889.895636
Raj1, 218.812408, 15.238203, 8.422400, 395.885692, 6.955008, 479.411070
Reuters911, 6.773760, 111.895694, 2.330624, 325.215276, 1.715200, 441.904491
Rucci1, 30.234625, 659.687037, 30.219263, 660.022385, 30.200832, 660.425178
Serena, 199.337982, 828.749006, 199.350266, 828.697941, 213.005310, 775.572940
Si10H16, 3.625984, 618.415004, 3.641344, 615.806372, 3.107840, 721.518108
Si34H36, 16.526337, 798.745088, 16.367617, 806.490677, 18.785280, 702.695413
Si41Ge41H72, 44.211201, 869.210467, 44.447742, 864.584707, 51.219456, 750.278148
Si5H12, 3.378176, 559.713554, 3.405824, 555.169883, 2.772992, 681.866717
Si87H76, 35.426304, 770.438132, 35.451904, 769.881785, 39.888897, 684.244927
SiO, 5.733376, 588.343898, 5.662720, 595.684879, 4.848640, 695.699583
SiO2, 39.366657, 733.762267, 32.707584, 883.151973, 36.445183, 792.581226
Stanford, 211.765244, 27.955448, 14.391296, 411.359211, 14.883840, 397.746313
Stanford_Berkeley, 408.835083, 47.484777, 31.362047, 619.010693, 31.967232, 607.291952
StocF-1465, 67.749886, 793.710504, 67.750916, 793.698438, 67.729408, 793.950475
TF16, 1.037312, 533.497023, 1.024000, 540.432474, 1.030144, 537.209257
TF17, 2.402304, 624.699506, 2.412544, 622.047960, 2.407424, 623.370913
TF18, 6.603776, 619.299506, 6.626304, 617.194006, 6.400000, 639.017990
TF19, 19.643393, 569.608622, 19.625984, 570.113868, 18.978815, 589.554496
TSOPF_FS_b162_c1, 15.132672, 102.946946, 2.936832, 530.456773, 2.077696, 749.802828
TSOPF_FS_b162_c3, 63.333378, 72.810391, 6.324224, 729.153174, 5.220352, 883.336573
TSOPF_FS_b162_c4, 87.103485, 70.484472, 7.890944, 778.036594, 7.022592, 874.241753
TSOPF_FS_b300, 59.375614, 189.712771, 10.940416, 1029.605453, 11.536384, 976.416239
TSOPF_FS_b300_c1, 60.302338, 186.797275, 10.967040, 1027.105970, 11.353088, 992.180449
TSOPF_FS_b300_c2, 120.568832, 186.156841, 20.892672, 1074.286401, 23.649281, 949.065360
TSOPF_FS_b300_c3, 184.620026, 182.146984, 31.660032, 1062.158766, 35.362816, 950.941829
TSOPF_FS_b39_c19, 209.909760, 24.118250, 8.321024, 608.417430, 7.471104, 677.631566
TSOPF_FS_b39_c30, 329.910278, 24.219220, 11.815936, 676.219771, 11.764736, 679.162667
TSOPF_FS_b39_c7, 61.764606, 30.260126, 4.732928, 394.894002, 2.910208, 642.223789
TSOPF_FS_b9_c6, 20.195328, 18.757226, 2.158592, 175.488616, 1.115136, 339.696961
TSOPF_RS_b162_c3, 1.816576, 860.060596, 1.817600, 859.576051, 1.912832, 816.781308
