Dataset,ASpT_time,ASpT_gflops
12month1,16.196608,894.003587 
144,2.676800,513.756363 
192bit,0.220192,448.490045 
208bit,0.327520,585.746924 
2D_27628_bjtcai,0.494848,572.811677 
2D_54019_highK,2.740384,232.706415 
2cubes_sphere,2.023872,520.906961 
333SP,41.917057,339.218715 
3D_28984_Tetra,1.069056,358.698504 
3D_51448_3D,1.512448,447.109865 
3Dspectralwave,26.417152,815.242182 
3Dspectralwave2,11.320320,809.743546 
3dtube,2.664448,771.910543 
598a,1.922816,493.898273 
ABACUS_shell_hd,0.294400,474.965207 
ABACUS_shell_ld,0.299456,466.945928 
ABACUS_shell_md,0.296992,470.819949 
ABACUS_shell_ud,0.303104,461.325993 
AS365,46.081184,315.771773 
ASIC_100k,1.740800,350.795216 
ASIC_100ks,1.504576,246.241870 
ASIC_320k,5.367808,314.212618 
ASIC_320ks,4.754144,246.058267 
ASIC_680k,8.805376,281.411572 
ASIC_680ks,5.990720,248.830306 
Andrews,0.782368,621.828292 
Baumann,1.552416,313.578223 
BenElechi1,10.101760,833.153581 
Bump_2911,103.419197,790.444498 
CO,6.565440,747.288277 
Chebyshev4,3.682304,934.677617 
Chevron1,0.387520,546.049566 
Chevron2,1.205152,426.527695 
Chevron3,5.151232,424.052425 
Chevron4,9.544416,427.569743 
CoupCons3D,18.542912,770.445084 
Cube_Coup_dt0,99.545380,817.837377 
Cube_Coup_dt6,99.536926,817.906833 
CurlCurl_0,0.173952,417.008834 
CurlCurl_1,3.519744,449.500156 
CurlCurl_2,12.354240,462.185029 
CurlCurl_3,18.717567,463.124044 
CurlCurl_4,36.607456,463.570994 
D6-6,0.632384,148.648922 
Delor295K,3.334720,460.862312 
Delor338K,4.301184,626.670063 
Delor64K,0.883136,472.599477 
Dubcova1,0.267168,606.082199 
Dubcova2,0.984512,669.716590 
Dubcova3,3.585312,649.163987 
EAT_RS,0.953344,218.576802 
EAT_SR,0.429056,485.663796 
ESOC,4.687392,821.941234 
Emilia_923,31.864000,823.604431 
EternityII_E,2.013184,478.042964 
EternityII_Etilde,1.909760,392.264075 
F1,23.202816,740.244301 
F2,4.015104,843.899076 
FEM_3D_thermal1,0.356288,773.738130 
FEM_3D_thermal2,3.240896,689.053894 
Fault_639,22.038689,830.962370 
Flan_1565,84.946945,884.550563 
Franz11,0.467808,451.095142 
Freescale1,36.389984,332.757004 
Freescale2,45.749249,322.350940 
FullChip,46.666752,365.100911 
G2_circuit,1.525408,304.883252 
G3_circuit,15.144448,323.744289 
GL7d14,2.508160,467.257698 
GL7d15,8.084544,481.343630 
GL7d16,20.542561,451.398637 
GL7d17,37.795807,439.889609 
GL7d18,53.194912,428.197825 
GL7d19,54.392639,439.150304 
GL7d20,44.575134,429.198343 
GL7d21,26.228512,443.481357 
GL7d22,12.194944,433.018785 
GL7d23,4.184576,412.246112 
GL7d24,1.084416,350.502823 
G_n_pin_pout,1.581088,405.754431 
Ga10As10H30,5.131264,762.775987 
Ga19As19H42,7.096320,801.302201 
Ga3As3H12,4.428800,862.853592 
Ga41As41H72,14.585856,811.239620 
GaAsH6,2.550784,848.506838 
Ge87H76,6.557696,770.240783 
Ge99H100,6.936576,779.764092 
Geo_1438,49.272289,820.345111 
H2O,1.905504,744.533230 
HEP-th-new,0.805888,280.183451 
