Dataset,ASpT_time,ASpT_gflops
12month1,120.193024,481.885715
144,10.995488,500.286306
192bit,0.624896,632.130285
208bit,1.286624,596.425519
2D_27628_bjtcai,1.881952,602.469591
2D_54019_highK,7.595584,335.829328
2cubes_sphere,6.690304,630.314551
333SP,151.256027,376.026014
3D_28984_Tetra,3.129344,490.158706
3D_51448_3D,4.957184,545.656907
3Dspectralwave,118.680573,725.860232
3Dspectralwave2,48.191486,760.844444
3dtube,9.211904,893.068628
598a,8.896064,427.009311
ABACUS_shell_hd,1.164320,480.382579
ABACUS_shell_ld,1.164768,480.197816
ABACUS_shell_md,1.167680,479.000264
ABACUS_shell_ud,1.161664,481.480906
AS365,174.088348,334.339143
ASIC_100k,5.636096,433.395258
ASIC_100ks,4.357216,340.115900
ASIC_320k,17.357824,388.673817
ASIC_320ks,13.435904,348.259862
ASIC_680k,34.828289,284.588740
ASIC_680ks,17.219681,346.271841
Andrews,4.258336,456.984655
Baumann,4.609920,422.396777
BenElechi1,43.515137,773.645042
Bump_2911,370.906708,881.592418
CO,26.053600,753.258885
Chebyshev4,20.743168,663.691691
Chevron1,1.654432,511.607881
Chevron2,3.859008,532.811241
Chevron3,16.103392,542.591863
Chevron4,30.007393,543.986436
CoupCons3D,58.252449,980.991891
Cube_Coup_dt0,362.358795,898.688628
Cube_Coup_dt6,362.246155,898.968076
CurlCurl_0,0.426272,680.687628
CurlCurl_1,11.038976,573.287044
CurlCurl_2,41.739296,547.200889
CurlCurl_3,63.336864,547.457194
CurlCurl_4,123.890495,547.908210
D6-6,2.544000,147.803779
Delor295K,10.815712,568.375609
Delor338K,13.776000,782.643251
Delor64K,3.048736,547.596889
Dubcova1,0.976352,663.390924
Dubcova2,4.871456,541.393768
Dubcova3,13.573984,685.857692
EAT_RS,2.139136,389.650537
EAT_SR,1.620992,514.196164
ESOC,16.651457,925.507239
Emilia_923,117.525665,893.194921
EternityII_E,10.208256,377.102025
EternityII_Etilde,8.029184,373.203657
F1,82.543617,832.323704
F2,15.606784,868.428096
FEM_3D_thermal1,1.298848,848.978766
FEM_3D_thermal2,10.225344,873.575330
Fault_639,82.901695,883.616235
Flan_1565,353.144836,851.094060
Franz11,2.030848,415.640988
Freescale1,130.326599,371.651594
Freescale2,147.656708,399.502698
FullChip,166.377472,409.624534
G2_circuit,4.254080,437.294437
G3_circuit,46.026367,426.097382
GL7d14,8.919904,525.546980
GL7d15,37.384319,416.371774
GL7d16,107.977470,343.511801
GL7d17,206.227066,322.479159
GL7d18,290.850250,313.260113
GL7d19,303.349701,314.970398
GL7d20,242.508545,315.561231
GL7d21,142.921951,325.544282
GL7d22,62.345024,338.801056
GL7d23,18.551329,371.957229
GL7d24,4.133888,367.780551
G_n_pin_pout,6.146752,417.478013
Ga10As10H30,19.069952,820.978494
Ga19As19H42,27.167744,837.212987
Ga3As3H12,18.137089,842.782682
Ga41As41H72,56.807423,833.174546
GaAsH6,10.225664,846.637531
Ge87H76,24.049664,840.095711
Ge99H100,25.681919,842.443710
Geo_1438,184.219833,877.653201
