Dataset,No_pipeline_time,No_pipeline_time,complete_time,complete_gflops
Lin, 1.734656, 651.711933, 1.712128,660.287065
Linux_call_graph, 2.236416, 345.955799, 2.192384,352.904016
Long_Coup_dt0, 112.837631, 493.957151, 83.295235,669.149383
Long_Coup_dt6, 113.603584, 490.626728, 106.087425,525.387008
M6, 28.205055, 476.598183, 28.195841,476.753935
ML_Geer, 112.637955, 630.011280, 105.458687,672.900301
ML_Laplace, 30.195711, 586.890701, 29.945856,591.787459
Maragal_6, 0.250880, 1371.668351, 0.239616,1436.148465
Maragal_7, 0.800768, 959.508451, 0.779264,985.986400
Maragal_8, 0.860160, 973.523073, 0.836608,1000.929476
NACA0015, 8.287232, 481.097530, 8.218624,485.113686
NLR, 34.581505, 462.230009, 33.427456,478.188030
NotreDame_actors, 2.911232, 323.250968, 3.017728,311.843391
NotreDame_www, 1.677312, 354.795860, 1.651712,360.294883
OPF_10000, 0.457728, 653.958335, 0.432128,692.699921
OPF_3754, 0.252928, 400.488378, 0.238592,424.552041
OPF_6000, 0.332800, 581.573075, 0.316416,611.686902
PFlow_742, 56.120319, 423.529576, 55.892990,425.252165
PR02R, 11.192320, 468.043006, 11.071488,473.151112
Pres_Poisson, 1.065984, 429.757440, 1.056768,433.505354
RFdevice, 0.618496, 378.290562, 0.541696,431.923431
RM07R, 28.317696, 846.734706, 27.962368,857.494461
Raj1, 1.648640, 505.614896, 1.618944,514.889295
Reuters911, 0.319488, 593.100982, 0.311296,608.708909
Rucci1, 8.507392, 586.119408, 8.463360,589.168796
Serena, 104.173569, 396.456502, 103.866371,397.629071
Si10H16, 0.480256, 1167.274808, 0.468992,1195.309784
Si34H36, 6.182912, 533.742455, 6.139904,537.481131
Si41Ge41H72, 12.994560, 739.325489, 12.833792,748.586996
Si5H12, 1.178624, 401.063194, 1.160192,407.434903
Si87H76, 15.684608, 435.040751, 15.625216,436.694382
SiO, 1.873920, 450.018793, 1.854464,454.740116
SiO2, 10.624000, 679.729122, 10.544128,684.878032
Stanford, 2.953216, 501.147915, 2.896896,510.891015
Stanford_Berkeley, 7.019520, 691.409209, 6.956032,697.719732
StocF-1465, 15.069184, 892.115239, 15.030272,894.424890
TF16, 0.187392, 738.295779, 0.177152,780.971852
TF17, 0.589824, 636.087217, 0.566272,662.542924
TF18, 1.690624, 604.764159, 1.643520,622.096964
TF19, 4.734976, 590.765729, 4.712448,593.589864
TSOPF_FS_b162_c1, 0.482304, 807.510604, 0.478208,814.427186
TSOPF_FS_b162_c3, 1.385472, 832.086069, 1.367040,843.305220
TSOPF_FS_b162_c4, 1.857536, 826.288607, 1.836032,835.966243
TSOPF_FS_b300, 1.935360, 1455.066833, 1.911808,1472.992089
TSOPF_FS_b300_c1, 1.944576, 1448.170729, 1.916928,1469.057785
TSOPF_FS_b300_c2, 4.103168, 1367.523393, 4.063232,1380.964295
TSOPF_FS_b300_c3, 6.428672, 1307.734383, 6.349824,1323.972958
TSOPF_FS_b39_c19, 3.001344, 421.699084, 2.979840,424.742262
TSOPF_FS_b39_c30, 4.726784, 422.600716, 4.697088,425.272531
TSOPF_FS_b39_c7, 1.043456, 447.791971, 1.029120,454.029865
TSOPF_FS_b9_c6, 0.196608, 481.679670, 0.180224,525.468746
TSOPF_RS_b162_c3, 0.630784, 619.215731, 0.622592,627.363309
TSOPF_RS_b162_c4, 0.820224, 634.167457, 0.805888,645.448700
TSOPF_RS_b2052_c1, 3.294208, 1313.549094, 3.213312,1346.618106
TSOPF_RS_b2383, 5.827584, 1775.958705, 5.702656,1814.864606
TSOPF_RS_b2383_c1, 5.823488, 1777.207705, 5.706752,1813.561984
TSOPF_RS_b300_c1, 0.786432, 1199.808714, 0.768000,1228.604156
TSOPF_RS_b300_c2, 1.595392, 1180.955961, 1.574912,1196.313024
TSOPF_RS_b300_c3, 2.405376, 1174.289346, 2.375680,1188.967957
TSOPF_RS_b39_c19, 1.303552, 335.922026, 1.293312,338.581762
TSOPF_RS_b39_c30, 2.157568, 320.356553, 2.106368,328.143524
TSOPF_RS_b39_c7, 0.707584, 228.333929, 0.521216,309.977913
TSOPF_RS_b678_c1, 1.443840, 1948.709627, 1.390592,2023.328915
TSOPF_RS_b678_c2, 2.844672, 1975.780487, 2.768896,2029.851302
Transport, 16.855040, 892.342480, 16.842752,892.993463
Trefethen_20000, 0.345088, 1028.312299, 0.334848,1059.759216
Trefethen_20000b, 0.353280, 1004.411210, 0.338944,1046.893919
Wordnet3, 0.458752, 185.496649, 0.431104,197.393110
Zd_Jac2, 0.988160, 1064.010995, 0.957440,1098.150380
Zd_Jac2_db, 0.632832, 684.100940, 0.616448,702.283032
Zd_Jac3, 1.122304, 1092.696204, 1.092608,1122.394590
Zd_Jac3_db, 0.669696, 682.250600, 0.651264,701.559539
Zd_Jac6, 1.003520, 1091.825880, 0.975872,1122.759073
Zd_Jac6_db, 0.617472, 687.855522, 0.602112,705.402854
Zhao1, 0.247808, 429.888956, 0.237568,448.418631
Zhao2, 0.250880, 424.624995, 0.238592,446.494101
a0nsdsil, 0.527360, 430.866487, 0.501760,452.849484
a2nnsnsl, 0.533504, 416.533102, 0.505856,439.299109
a5esindl, 0.447488, 364.708230, 0.359424,454.066958
adaptive, 35.444736, 492.009007, 35.338242,493.491719
af23560, 0.180224, 1719.659077, 0.169984,1823.253034
af_0_k101, 34.336769, 327.125478, 34.183167,328.595421
af_1_k101, 34.312191, 327.359800, 34.178047,328.644640
af_2_k101, 34.300926, 327.467309, 34.181122,328.615078
af_3_k101, 34.323456, 327.252362, 34.217983,328.261076
af_4_k101, 34.320385, 327.281643, 34.187263,328.556043
af_5_k101, 34.301952, 327.457513, 34.180096,328.624943
af_shell1, 34.332672, 327.876606, 34.238464,328.778764
af_shell10, 102.923264, 327.528363, 74.822655,450.535845
af_shell2, 34.325504, 327.945073, 34.232319,328.837787
