Dataset,ASpT_time,ASpT_gflops
Zd_Jac3_db,0.902144,506.460690
Zd_Jac6,1.942528,564.042894
Zd_Jac6_db,0.816128,520.422669
Zhao1,0.337152,315.970004
Zhao2,0.494080,215.612691
a0nsdsil,1.905664,119.234956
a2nnsnsl,1.928192,115.248937
a5esindl,1.531904,106.535763
adaptive,70.273087,248.162283
af23560,0.474080,653.737433
af_0_k101,16.728064,671.472340
af_1_k101,16.727585,671.491558
af_2_k101,16.729601,671.410637
af_3_k101,16.728256,671.464607
af_4_k101,16.730753,671.364405
af_5_k101,16.726688,671.527546
af_shell1,17.288609,651.115442
af_shell10,50.028481,673.821944
af_shell2,17.269377,651.840548
af_shell3,17.331648,649.498541
af_shell4,17.316511,650.066281
af_shell5,17.241440,652.896749
af_shell6,17.331968,649.486533
af_shell7,17.332800,649.455371
af_shell8,17.278624,651.491709
af_shell9,17.296192,650.829957
airfoil_2d,0.335040,496.061122
ak2010,1.428768,97.246520
al2010,2.993472,263.075270
amazon-2008,10.662880,309.613194
amazon0302,3.102816,254.710964
amazon0312,6.553056,312.568926
amazon0505,6.772224,317.232179
amazon0601,6.765184,320.453715
apache1,1.136832,305.232225
apache2,9.333056,330.378030
appu,2.478080,478.590902
ar2010,2.189952,264.279047
as-Skitter,43.214848,328.636620
as-caida,1.086464,62.889960
astro-ph,0.797696,194.561940
atmosmodd,17.053888,330.805685
atmosmodj,17.046465,330.949744
atmosmodl,21.948481,300.915882
atmosmodm,21.946753,300.939576
audikw_1,84.622337,587.282078
aug3dcqp,0.301568,271.890915
auto,10.966944,386.862756
av41092,2.485248,433.637706
az2010,2.877248,266.052890
barrier2-1,4.948992,492.068613
barrier2-10,5.056512,493.311702
barrier2-11,5.054464,493.511586
barrier2-12,5.057536,493.211797
barrier2-2,4.952064,491.763334
barrier2-3,4.948992,492.068613
barrier2-4,4.956160,491.356915
barrier2-9,5.050368,493.911842
bauru5727,0.385696,240.635530
baxter,0.918528,77.742473
bayer01,0.684768,259.613993
bayer04,0.288800,352.536287
bbmat,2.063360,549.541570
bcircuit,0.851808,282.172880
bcsstk17,0.557056,492.474716
bcsstk18,0.251648,379.170892
bcsstk25,0.332704,485.218802
bcsstk29,0.580608,682.857131
bcsstk30,2.037760,641.800245
bcsstk31,1.439744,525.167142
bcsstk32,2.183168,590.613585
bcsstk35,1.474560,629.411015
bcsstk36,1.060864,689.635636
bcsstk37,1.084416,673.381118
bcsstk39,2.112800,632.879702
bcsstm36,0.477504,429.709168
belgium_osm,12.205280,162.549450
