nnz,ASpT_time,ASpT,Sputnik_time,Sputnik,cuSPARSE_time,cuSPARSE,RoDe_time,RoDe
766396.0,1.7975296,273.158601,124.7137802,3.9329530000000004,2.4051712000000003,206.0606362,0.9459712,522.130591
780075.4,1.5531903999999996,374.05724899999996,1.3557759999999999,426.6794860000001,2.3281663999999997,239.37238680000002,0.7831552,672.2204298
805116.6,1.4025919999999998,427.8384102,0.8445951999999999,724.8160522,2.3648256,227.761078,0.7190527999999999,810.6661912
822901.2,1.5094656,444.4220993999999,0.9402368000000001,725.4968276,2.3873536,241.96964480000003,0.7856128,837.0376197999998
834456.6,1.7530112000000002,364.16581759999997,0.984064,649.2830918,2.5083904,235.87264820000001,0.8353791999999999,758.3239276
851759.6,1.7278272000000001,345.90871500000003,2.325504,369.4721062,2.5088,227.87547880000002,0.8347648000000001,659.983238
884889.6,1.4280128,533.0052622000001,2.2833152,725.3028277999999,2.1331967999999994,303.96584599999994,0.738304,911.5121376000001
903307.6,1.6609088,451.69891960000007,2.8092416000000004,550.9725826,2.890752,236.4371362,0.8153088000000001,834.325682
929984.8,1.6002112,509.7861608,1.0358784,776.2639922000001,4.730880000000001,230.13237199999998,0.8638463999999999,855.7633478
953988.2,1.7315904,433.6116374,20.885708600000005,531.5523372,2.4942592,264.80277779999994,0.8374271999999999,849.439731
969471.2,1.2326592,742.6316028,15.375360200000003,855.8871826000001,3.172352,248.17392659999996,0.6649856000000001,1173.5973556000001
983994.6,2.2456319999999996,373.595725,1.2781568,633.1538905999998,2.9847552,234.6484512,1.0954752,735.7302212000001
1001910.6,1.6342592,465.22104980000006,1.0805247999999998,676.0352070000001,2.2093824,298.49461460000003,0.690176,967.38345
1017312.2,1.1270976,722.5129954,0.7606272000000001,986.9574246,1.901568,374.3950739999999,0.6250496,1188.0130902
1032407.2,1.2985855999999998,585.044262,3.3980416,678.5694216,2.4553472,301.8402886,0.7274496000000001,991.7267624
1064448.2,1.6759743999999999,456.067951,8.1221632,220.96309459999998,2.1278719999999995,346.39393299999995,0.8415232000000001,866.4338764
1091763.8,1.6323648000000002,563.9174198000001,1.3158400000000001,739.513778,2.5706496000000003,297.5020902,0.8208384000000001,989.238997
1143390.6,1.2797568,692.7731738,0.7749632,1157.2491690000002,2.3914496,331.0523534,0.6912,1218.6277848
1169146.6,1.1067008,754.223578,1.425408,872.040143,2.1354496000000003,357.45004499999993,0.6895616,1233.7953262
1196184.2,2.3388224,450.1102978,2.4326144,493.840158,3.0488576,277.8306916,1.1280384,831.7461406
1215865.0,2.8711424,296.66501660000006,22.790553000000003,341.1728364,3.5848191999999997,224.12182660000002,1.2361727999999998,674.9726128
