Dataset,Sputnik_time,Sputnik_gflops,ours_time,ours_gflops
lowThrust_6, 30.305281, 17.515543, 0.434176,1222.576657
lowThrust_7, 31.980543, 16.935177, 0.455680,1188.544911
lowThrust_8, 33.178623, 16.700488, 0.458752,1207.840385
lowThrust_9, 34.422783, 16.330691, 0.467968,1201.252768
lp1, 29763.396484, 0.141353, 6.165504,682.370041
lp_ken_18, 1697.190918, 0.540256, 1.586176,578.068095
lp_nug20, 116.390915, 6.704028, 1.049600,743.414630
lp_nug30, 2071.155762, 1.937840, 6.609920,607.203716
lp_osa_60, 261.621765, 13.778161, 5.309440,678.916569
lp_pds_10, 86.809601, 3.173253, 0.592896,464.615729
lp_pds_20, 383.222778, 1.554126, 0.983040,605.851578
lpl1, 111.040512, 7.562755, 0.785408,1069.217704
lpl3, 38.368256, 6.707211, 0.438272,587.178739
lung2, 1251.819580, 1.007305, 1.396736,902.793238
luxembourg_osm, 1370.973145, 0.446901, 1.232896,496.951839
m133-b3, 4181.804199, 0.490231, 2.619392,782.642714
m14b, 4819.384277, 1.783749, 7.654400,1123.088982
m_t1, 1014.549500, 24.611061, 13.191168,1892.867979
ma2010, 2590.125977, 0.767577, 2.322432,856.051572
mac_econ_fwd500, 4450.787109, 0.732427, 3.062784,1064.350567
majorbasis, 2673.826904, 1.675899, 3.481600,1287.070571
mario001, 155.256836, 3.399266, 0.645120,818.079334
mario002, 15848.851562, 0.339405, 7.027712,765.424027
mark3jac040, 35.339264, 8.217308, 0.367616,789.937331
mark3jac040sc, 35.319809, 8.221834, 0.375808,772.717982
mark3jac060, 79.428612, 5.501534, 0.538624,811.288040
mark3jac060sc, 79.426559, 5.501676, 0.546816,799.133908
mark3jac080, 140.971008, 4.139609, 0.686080,850.578384
mark3jac080sc, 140.969986, 4.139639, 0.684032,853.124971
mark3jac100, 219.918335, 3.320098, 0.816128,894.651802
mark3jac100sc, 219.917313, 3.320113, 0.987136,739.665452
mark3jac120, 316.347382, 2.771434, 0.948224,924.608523
mark3jac120sc, 317.060089, 2.765205, 0.944128,928.619871
mark3jac140, 430.204926, 2.378684, 1.260544,811.809542
mark3jac140sc, 430.203918, 2.378690, 1.074176,952.657334
matrix-new_3, 1644.052490, 4.171156, 3.560448,1926.049793
matrix_9, 1120.064453, 4.848978, 2.888704,1880.139981
mc2depi, 28819.705078, 0.186559, 6.283264,855.697908
md2010, 2203.211670, 0.813797, 2.096128,855.371280
me2010, 506.575867, 1.695340, 1.099776,780.903145
memchip, 0.005120, 7405101.187069, 42.545151,891.150142
memplus, 33.267712, 9.707431, 0.366592,880.935778
mi2010, 11348.641602, 0.355982, 4.478976,901.971925
