Dataset,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
airfoil_2d, 0.261120, 636.490217, 0.716800, 231.864294, 0.218112, 761.995281
ak2010, 0.495616, 280.343498, 0.794624, 174.853421, 0.400384, 347.023650
al2010, 1.699840, 463.283899, 3.912704, 201.269629, 1.392640, 565.478862
amazon-2008, 5.020672, 657.555089, 11.043840, 298.932998, 4.139008, 797.623074
amazon0302, 1.587200, 497.934260, 3.988480, 198.150990, 1.341440, 589.158891
amazon0312, 2.923520, 700.621695, 8.182784, 250.315978, 2.449408, 836.235349
amazon0505, 2.987008, 719.237207, 8.495104, 252.894773, 2.526208, 850.431724
amazon0601, 2.980864, 727.281850, 8.424448, 257.337729, 2.515968, 861.667655
apache1, 0.536576, 646.688964, 1.495040, 232.099306, 0.452608, 766.662914
apache2, 4.191232, 735.687418, 10.998784, 280.343425, 3.429376, 899.124768
appu, 0.871424, 1360.975293, 2.931712, 404.537211, 1.015808, 1167.530258
ar2010, 1.200128, 482.247243, 2.987008, 193.758564, 1.069056, 541.373306
as-Skitter, 49.736706, 285.543267, 45.406208, 312.776205, 16.217089, 875.741738
as-caida, 1.935360, 35.304895, 0.700416, 97.552993, 0.422912, 161.564769
astro-ph, 0.406528, 381.772674, 0.695296, 223.216130, 0.325632, 476.615557
atmosmodd, 7.380992, 764.331305, 20.207617, 279.178057, 5.935104, 950.534869
atmosmodj, 7.387136, 763.695594, 20.069376, 281.101077, 5.937152, 950.206983
atmosmodl, 8.797184, 750.768247, 23.737345, 278.238635, 7.033856, 938.979484
atmosmodm, 8.821760, 748.676712, 23.402496, 282.219739, 7.038976, 938.296454
audikw_1, 26.359808, 1885.339307, 120.930305, 410.957219, 30.147585, 1648.463126
aug3dcqp, 0.253952, 322.870468, 0.673792, 121.689779, 0.216064, 379.487549
auto, 5.943296, 713.863505, 14.346240, 295.736170, 3.908608, 1085.476498
av41092, 2.023424, 532.610727, 2.537472, 424.712973, 0.891904, 1208.310854
az2010, 1.620992, 472.241804, 3.787776, 202.097527, 1.359872, 562.920752
barrier2-1, 7.695360, 316.456080, 6.961152, 349.833403, 1.956864, 1244.462324
barrier2-10, 10.027008, 248.771764, 7.261184, 343.530257, 2.014208, 1238.420453
barrier2-11, 10.035200, 248.568683, 7.146496, 349.043299, 2.014208, 1238.420453
barrier2-12, 10.039296, 248.467267, 7.255040, 343.821181, 2.043904, 1220.427378
barrier2-2, 7.707648, 315.951583, 7.020544, 346.873903, 1.959936, 1242.511741
barrier2-3, 7.733248, 314.905645, 6.956032, 350.090912, 1.956864, 1244.462324
barrier2-4, 7.714816, 315.658013, 7.031808, 346.318266, 1.958912, 1243.161256
barrier2-9, 10.036224, 248.543316, 7.249920, 344.064006, 2.013184, 1239.050376
bauru5727, 0.264192, 351.305737, 0.715776, 129.666483, 0.257024, 361.103101
baxter, 2.141184, 33.350070, 0.643072, 111.042992, 0.432128, 165.248811
bayer01, 0.381952, 465.439023, 0.936960, 189.736342, 0.304128, 584.541263
bayer04, 0.218112, 466.789892, 0.667648, 152.494244, 0.192512, 528.863017
bbmat, 0.841728, 1347.112271, 3.497984, 324.158745, 0.606208, 1870.483449
bcircuit, 0.422912, 568.338376, 1.113088, 215.937210, 0.358400, 670.639310
bcsstk17, 0.319488, 858.673908, 0.856064, 320.462013, 0.269312, 1018.654964
bcsstk18, 0.219136, 435.426403, 0.563200, 169.420455, 0.181248, 526.447757
bcsstk25, 0.250880, 643.471931, 0.673792, 239.590614, 0.210944, 765.294307
bcsstk29, 0.360448, 1099.943173, 1.114112, 355.863964, 0.281600, 1407.927280
bcsstk30, 0.833536, 1569.020216, 2.886656, 453.062249, 0.833536, 1569.020216
bcsstk31, 0.772096, 979.290479, 1.854464, 407.722241, 0.462848, 1633.595106
bcsstk32, 0.891904, 1445.680976, 3.068928, 420.149524, 0.808960, 1593.908979
bcsstk35, 0.638976, 1452.487029, 2.105344, 440.832612, 0.596992, 1554.634393
bcsstk36, 0.499712, 1464.062528, 1.713152, 427.054679, 0.493568, 1482.287335
bcsstk37, 0.493568, 1479.482615, 1.723392, 423.713976, 0.471040, 1550.240455
bcsstk39, 0.889856, 1502.656822, 3.315712, 403.276331, 0.935936, 1428.674821
bcsstm36, 0.280576, 731.309331, 0.782336, 262.275852, 0.239616, 856.319421
belgium_osm, 7.019520, 282.634946, 11.430912, 173.561094, 5.577728, 355.693514
bfly, 0.284672, 442.014401, 0.757760, 166.054057, 0.253952, 495.483878
blockqp1, 28.009472, 14.624379, 1.376256, 297.634396, 0.536576, 763.398178
bloweya, 6.414336, 14.967373, 0.616448, 155.740245, 0.427008, 224.833632
bloweybl, 6.395904, 12.007685, 0.611328, 125.628140, 0.425984, 180.288464
bmw3_2, 3.981312, 1814.658870, 17.669121, 408.889796, 4.776960, 1512.410269
bmw7st_1, 2.632704, 1784.244201, 11.548672, 406.746940, 3.078144, 1526.045165
bmwcra_1, 3.768320, 1807.744865, 16.017408, 425.297347, 4.137984, 1646.251317
bodyy4, 0.180224, 433.018463, 0.524288, 148.850098, 0.155648, 501.389825
bodyy5, 0.193536, 427.516538, 0.567296, 145.849496, 0.155648, 531.583083
