Dataset,Sputnik_time,Sputnik_gflops,ours_time,ours_gflops
F2, 536.099854, 6.320357, 5.698560,594.596224
FEM_3D_thermal1, 33.533951, 8.220731, 0.340992,808.445937
FEM_3D_thermal2, 2281.451416, 0.978830, 2.288640,975.755024
Fault_639, 42534.402344, 0.430553, 45.910015,398.895991
Flan_1565, 255164.968750, 0.294476, 126.572540,593.650629
Franz11, 148.234238, 1.423598, 0.329728,639.999986
Freescale1, 0.004096, 2956304.226214, 22.680576,533.893932
Freescale2, 0.005120, 2880334.697763, 26.535936,555.748743
FullChip, 0.006144, 2773123.860246, 28.699648,593.668384
G2_circuit, 2348.419189, 0.198036, 0.927744,501.292786
G3_circuit, 261890.078125, 0.018721, 8.780800,558.369251
GL7d14, 846.137329, 1.385067, 1.598464,733.177044
GL7d15, 8224.550781, 0.473150, 4.889600,795.861420
GL7d16, 45815.796875, 0.202395, 13.673472,678.165982
GL7d17, 154125.062500, 0.107873, 27.951103,594.823846
GL7d18, 315501.593750, 0.072196, 40.681473,559.909562
GL7d19, 389339.562500, 0.061351, 43.995136,542.936016
GL7d20, 286244.218750, 0.066837, 34.983936,546.867385
GL7d21, 123262.460938, 0.094367, 20.673536,562.644718
GL7d22, 29966.830078, 0.176216, 8.698880,607.048250
GL7d23, 3826.876465, 0.450779, 2.525184,683.148340
GL7d24, 231.041031, 1.645123, 0.607232,625.940161
G_n_pin_pout, 1042.867188, 0.615163, 1.034240,620.294550
Ga10As10H30, 1335.923706, 2.929812, 6.972416,561.355657
Ga19As19H42, 1851.750366, 3.070769, 8.389632,677.776666
Ga3As3H12, 394.762238, 9.680273, 4.107264,930.401854
Ga41As41H72, 7499.504883, 1.577787, 17.747969,666.703038
GaAsH6, 393.776123, 5.496417, 3.708928,583.553441
Ge87H76, 1334.526001, 3.784868, 7.480320,675.239136
Ge99H100, 1334.964233, 4.051714, 7.676928,704.564739
Geo_1438, 215460.437500, 0.187600, 102.499329,394.346794
H2O, 469.602295, 3.021091, 4.007936,353.975473
HEP-th-new, 80.623619, 2.800624, 0.436224,517.615888
HTC_336_4438, 5339.588379, 0.108415, 1.427456,405.542498
HTC_336_9129, 5338.850098, 0.105901, 1.413120,400.100535
HV15R, 424112.125000, 0.427168, 196.572159,921.631091
Hamrle3, 218245.984375, 0.016170, 7.575552,465.855806
Hook_1498, 233834.812500, 0.166730, 86.246399,452.043973
IG5-15, 14.409728, 14.368471, 0.404480,511.881316
IG5-16, 36.604927, 10.286283, 0.672768,559.670855
IG5-17, 88.348671, 7.497624, 1.152000,575.004469
IG5-18, 208.384003, 5.499048, 2.115584,541.653584
IMDB, 40011.183594, 0.060502, 6.181888,391.591740
Ill_Stokes, 45.688831, 2.680645, 0.244736,500.439329
JP, 621.755371, 14.137582, 9.461760,929.015126
LargeRegFile, 176263.015625, 0.017952, 9.736192,325.002703
LeGresley_87936, 806.361084, 0.470877, 0.735232,516.431062
Lin, 6829.890625, 0.165522, 1.691648,668.280869
Linux_call_graph, 10944.140625, 0.070695, 2.167808,356.904809
Long_Coup_dt0, 225225.171875, 0.247472, 108.930046,511.676593
Long_Coup_dt6, 225225.406250, 0.247472, 108.742653,512.558351
M6, 0.005120, 2625484.066325, 27.735041,484.674901
ML_Geer, 235725.171875, 0.301042, 115.486717,614.470510
ML_Laplace, 14825.258789, 1.195364, 29.071360,609.589035
Maragal_6, 22.821888, 15.078689, 0.405504,848.633232
Maragal_7, 130.243591, 5.899282, 0.763904,1005.811862
Maragal_8, 260.340729, 3.216499, 0.826368,1013.332590
NACA0015, 112514.890625, 0.035435, 8.096768,492.414610
NLR, 0.004096, 3902492.509853, 32.871426,486.276727
NotreDame_actors, 5229.066406, 0.179967, 2.832384,332.249626
NotreDame_www, 11055.304688, 0.053830, 1.633280,364.360885
OPF_10000, 201.068542, 1.488721, 0.441344,678.235220
OPF_3754, 25.013248, 4.049643, 0.241664,419.155178
OPF_6000, 93.458435, 2.070948, 0.317440,609.713704
PFlow_742, 57507.359375, 0.413314, 54.234112,438.259506
PR02R, 2708.672607, 1.933968, 10.875904,481.659915
Pres_Poisson, 23.219200, 19.729989, 1.018880,449.625624
RFdevice, 572.656616, 0.408572, 0.537600,435.214301
RM07R, 15202.209961, 1.577243, 27.251713,879.855731
Raj1, 7248.971680, 0.114992, 1.588224,524.848467
Reuters911, 18.692097, 10.137367, 0.310272,610.717806
Rucci1, 22663.500000, 0.220017, 8.414208,592.610413
Serena, 201727.062500, 0.204734, 100.471809,411.063450
Si10H16, 30.728191, 18.243531, 0.835584,670.896918
Si34H36, 995.182617, 3.316057, 5.959680,553.734851
Si41Ge41H72, 3599.718506, 2.668878, 12.482560,769.650575
Si5H12, 41.627647, 11.355499, 1.126400,419.657957
Si87H76, 6027.305176, 1.132089, 15.183872,449.387596
SiO, 116.901886, 7.213735, 1.795072,469.785735
SiO2, 2518.721436, 2.867106, 10.213376,707.057283
Stanford, 8281.743164, 0.178706, 2.855936,518.218214
Stanford_Berkeley, 48668.484375, 0.099723, 6.850560,708.461864
StocF-1465, 223652.000000, 0.060109, 14.790656,908.914985
TF16, 31.265793, 4.424987, 0.279552,494.901534
TF17, 193.597443, 1.937936, 0.572416,655.431566
TF18, 1232.094238, 0.829830, 1.602560,637.997187
TF19, 7989.259277, 0.350128, 4.610048,606.774930
TSOPF_FS_b162_c1, 12.376064, 31.469261, 0.457728,850.866893
TSOPF_FS_b162_c3, 99.576836, 11.577311, 1.331200,866.009613
TSOPF_FS_b162_c4, 174.451706, 8.798199, 1.789952,857.487109
TSOPF_FS_b300, 90.432510, 31.140107, 1.868800,1506.891060
TSOPF_FS_b300_c1, 90.434563, 31.139401, 1.872896,1503.595579
TSOPF_FS_b300_c2, 339.953674, 16.505714, 3.987456,1407.207534
TSOPF_FS_b300_c3, 747.671570, 11.244235, 6.223872,1350.766042
TSOPF_FS_b39_c19, 607.116272, 2.084714, 2.882560,439.076374
TSOPF_FS_b39_c30, 1507.575806, 1.325003, 4.548608,439.154677
TSOPF_FS_b39_c7, 83.289085, 5.609993, 0.995328,469.444440
TSOPF_FS_b9_c6, 21.926912, 4.318988, 0.183296,516.662025
TSOPF_RS_b162_c3, 24.926208, 15.669907, 0.607232,643.232531
TSOPF_RS_b162_c4, 43.590656, 11.932818, 0.786432,661.416806
TSOPF_RS_b2052_c1, 71.148544, 60.817885, 3.187712,1357.432560
TSOPF_RS_b2383, 157.885437, 65.550999, 5.634048,1836.964859
TSOPF_RS_b2383_c1, 157.878265, 65.553977, 5.632000,1837.632851
TSOPF_RS_b300_c1, 22.601728, 41.747604, 0.756736,1246.891947
TSOPF_RS_b300_c2, 85.048317, 22.153145, 1.541120,1222.544394
TSOPF_RS_b300_c3, 187.198471, 15.088838, 2.326528,1214.086945
TSOPF_RS_b39_c19, 151.576569, 2.888915, 1.260544,347.383241
TSOPF_RS_b39_c30, 377.107452, 1.832876, 2.035712,339.532821
TSOPF_RS_b39_c7, 20.898815, 7.730842, 0.695296,232.369297
TSOPF_RS_b678_c1, 38.223873, 73.609102, 1.380352,2038.338713
TSOPF_RS_b678_c2, 136.483841, 41.180314, 2.724864,2062.652429
Transport, 267414.843750, 0.056244, 16.502785,911.389689
Trefethen_20000, 41.958401, 8.457382, 0.410624,864.192649
Trefethen_20000b, 41.960449, 8.456497, 0.412672,859.855742
Wordnet3, 712.511475, 0.119432, 0.427008,199.286569
Zd_Jac2, 54.773762, 19.195562, 0.951296,1105.242901
Zd_Jac2_db, 54.776833, 7.903359, 0.608256,711.741393
Zd_Jac3, 54.837250, 22.363216, 1.076224,1139.481479
Zd_Jac3_db, 54.645760, 8.361133, 0.632832,721.993336
Zd_Jac6, 54.785023, 19.999428, 0.960512,1140.713640
Zd_Jac6_db, 54.643711, 7.772743, 0.592896,716.367678
Zhao1, 119.787521, 0.889324, 0.234496,454.293127
Zhao2, 119.791618, 0.889294, 0.237568,448.418631
a0nsdsil, 667.661316, 0.340325, 0.499712,454.705439
a2nnsnsl, 667.662354, 0.332836, 0.510976,434.897281
a5esindl, 375.622650, 0.434485, 0.351232,464.657445
adaptive, 0.005120, 3406080.086045, 34.523136,505.143262
af23560, 58.121216, 5.332370, 0.304128,1019.057269
af_0_k101, 26436.507812, 0.424883, 33.030144,340.066095
af_1_k101, 26437.222656, 0.424872, 33.044479,339.918565
af_2_k101, 26436.691406, 0.424880, 33.027073,340.097714
af_3_k101, 26437.212891, 0.424872, 33.030144,340.066095
af_4_k101, 26437.257812, 0.424871, 33.025024,340.118810
af_5_k101, 26436.517578, 0.424883, 33.033215,340.034482
af_shell1, 26565.724609, 0.423737, 33.080318,340.289348
af_shell10, 236966.625000, 0.142258, 99.132416,340.053127
af_shell2, 26565.025391, 0.423748, 33.080318,340.289348
af_shell3, 26565.023438, 0.423748, 33.084415,340.247209
af_shell4, 26565.759766, 0.423736, 33.088512,340.205080
af_shell5, 26565.035156, 0.423748, 33.088512,340.205080
af_shell6, 26565.015625, 0.423748, 33.074177,340.352538
af_shell7, 26565.695312, 0.423737, 33.095680,340.131398
af_shell8, 26565.195312, 0.423745, 33.082367,340.268277
af_shell9, 26565.722656, 0.423737, 33.089535,340.194569
airfoil_2d, 21.277697, 7.811011, 0.283648,585.938599
ak2010, 214.090759, 0.648990, 0.367616,377.956130
al2010, 6632.867676, 0.118728, 1.843200,427.250702
amazon-2008, 56336.398438, 0.058601, 5.237760,630.301556
amazon0302, 7159.604004, 0.110386, 1.572864,502.472720
amazon0312, 16733.753906, 0.122404, 3.136512,653.044392
amazon0505, 17537.591797, 0.122501, 3.283968,654.198634
amazon0601, 16958.224609, 0.127839, 3.234816,670.185961
apache1, 681.518066, 0.509154, 0.595968,582.242260
apache2, 53292.703125, 0.057859, 4.494336,686.071694
appu, 21.313536, 55.644759, 1.506304,787.348729
ar2010, 3615.046631, 0.160097, 1.552384,372.819092
as-Skitter, 299827.375000, 0.047367, 25.218048,563.167355
as-caida, 102.812675, 0.664584, 0.259072,263.740113
astro-ph, 29.361153, 5.285940, 0.333824,464.919466
atmosmodd, 168152.984375, 0.033550, 7.942144,710.327496
atmosmodj, 168153.140625, 0.033550, 7.942144,710.327496
atmosmodl, 231221.421875, 0.028564, 9.480192,696.678535
atmosmodm, 231221.562500, 0.028564, 9.484288,696.377656
audikw_1, 92837.093750, 0.535316, 80.312317,618.799009
aug3dcqp, 131.885056, 0.621705, 0.244736,335.028764
auto, 20982.294922, 0.202204, 5.516288,769.122684
av41092, 176.594940, 6.102651, 1.018880,1057.727377
az2010, 6087.538574, 0.125749, 1.801216,424.990760
barrier2-1, 1334.928345, 1.824250, 5.450752,446.772045
barrier2-10, 1395.895264, 1.786980, 5.585920,446.557871
barrier2-11, 1396.743164, 1.785895, 5.580800,446.967541
barrier2-12, 1395.895264, 1.786980, 5.578752,447.131628
barrier2-2, 1334.925293, 1.824255, 5.428224,448.626195
barrier2-3, 1334.918091, 1.824264, 5.428224,448.626195
barrier2-4, 1334.914062, 1.824270, 5.432320,448.287926
barrier2-9, 1395.903442, 1.786969, 5.604352,445.089188
bauru5727, 170.090500, 0.545663, 0.297984,311.466920
baxter, 88.118271, 0.810373, 0.222208,321.359457
bayer01, 347.763702, 0.511196, 0.404480,439.515812
bayer04, 44.387329, 2.293728, 0.251904,404.171731
bbmat, 157.368317, 7.205403, 1.484800,763.673286
bcircuit, 495.250427, 0.485324, 0.534528,449.662342
bcsstk17, 12.771328, 21.480617, 0.612352,448.003753
bcsstk18, 15.042560, 6.343176, 0.225280,423.551133
bcsstk25, 25.049088, 6.444715, 0.278528,579.597876
bcsstk29, 20.727808, 19.127557, 0.844800,469.309093
bcsstk30, 88.239105, 14.821488, 2.114560,618.490347
bcsstk31, 132.649979, 5.700010, 1.415168,534.287247
bcsstk32, 208.715775, 6.177821, 2.837504,454.416516
bcsstk35, 96.080894, 9.659614, 2.001920,463.607101
bcsstk36, 55.852032, 13.099069, 1.583104,462.136154
bcsstk37, 68.229118, 10.702546, 1.555456,469.460570
bcsstk39, 229.256195, 5.832550, 3.349504,399.207812
bcsstm36, 55.578625, 3.691848, 0.352256,582.496366
belgium_osm, 216421.078125, 0.009167, 6.687744,296.656325
bfly, 251.974655, 0.499372, 0.262144,480.000001
blockqp1, 375.698425, 1.090292, 0.497664,823.087698
bloweya, 94.038017, 1.020925, 0.239616,400.665053
bloweybl, 94.028801, 0.816771, 0.215040,357.142860
bmw3_2, 5394.423828, 1.339295, 15.651840,461.589379
bmw7st_1, 2087.531494, 2.250211, 10.137600,463.362818
bmwcra_1, 2312.993896, 2.945170, 11.922432,571.373467
bodyy4, 32.348160, 2.412512, 0.182272,428.153085
bodyy5, 36.231167, 2.283665, 0.184320,448.892354
bodyy6, 39.457790, 2.185594, 0.190464,452.782246
bone010, 101476.421875, 0.451991, 76.539902,599.248849
boneS01, 1691.995117, 2.540018, 8.634368,497.743125
boneS10, 87245.078125, 0.406897, 64.898048,547.008592
boyd1, 907.007996, 0.854665, 0.931840,831.889421
boyd2, 22657.328125, 0.042382, 2.656256,361.506607
brack2, 409.422852, 1.145993, 0.732160,640.837437
brainpc2, 79.635452, 1.441730, 0.218112,526.393763
bratu3d, 80.733185, 1.377741, 0.222208,500.564531
bundle1, 11.849728, 41.636116, 0.525312,939.206860
bundle_adj, 27466.027344, 0.470878, 14.598144,885.945022
c-42, 11.568128, 6.101454, 0.216064,326.673569
c-43, 13.025280, 6.076798, 0.208896,378.906257
c-45, 18.317312, 6.095287, 0.206848,539.764863
c-46, 23.369728, 3.571033, 0.212992,391.817913
c-47, 24.708096, 5.475802, 0.282624,478.716022
c-48, 35.291138, 3.011838, 0.254976,416.867463
c-49, 46.753792, 2.149705, 0.258048,389.489090
c-50, 52.551682, 2.358060, 0.272384,454.945979
c-51, 56.259583, 2.309864, 0.280576,463.161512
c-52, 59.999233, 2.162332, 0.278528,465.799624
c-53, 95.479805, 2.494939, 0.309248,770.308360
c-54, 105.625603, 2.373322, 0.345088,726.433595
c-55, 112.307198, 2.299122, 0.450560,573.082382
c-56, 134.718460, 1.809522, 0.376832,646.908953
c-57, 149.471237, 1.734956, 0.352256,736.186410
c-58, 147.580933, 2.396221, 0.510976,692.080388
c-59, 178.016251, 1.727612, 0.538624,570.979100
c-60, 198.739975, 0.961507, 0.375808,508.477520
c-61, 198.641663, 0.998835, 0.389120,509.894720
c-62, 181.918716, 1.967799, 0.617472,579.750214
c-62ghs, 181.922821, 1.967755, 0.618496,578.790355
c-63, 204.290054, 1.361841, 0.460800,603.755566
c-64, 271.738892, 1.690661, 0.533504,861.133622
c-64b, 271.740936, 1.690648, 0.529408,867.796216
c-65, 241.180679, 0.956702, 0.417792,552.279422
c-66, 260.844543, 1.224348, 0.495616,644.378888
c-66b, 260.843506, 1.224353, 0.498688,640.409378
c-67, 350.603271, 0.971007, 0.499712,681.269224
c-67b, 350.602234, 0.971010, 0.497664,684.072782
c-68, 438.263794, 0.826543, 0.690176,524.857188
c-69, 474.858490, 0.840968, 0.731136,546.192209
c-70, 495.528961, 0.851113, 0.788480,534.891245
c-71, 612.709351, 0.897839, 1.052672,522.588750
c-72, 737.041382, 0.614399, 0.843776,536.679316
c-73, 2991.780762, 0.273662, 1.295360,632.052387
c-73b, 2991.778809, 0.273662, 1.295360,632.052387
c-big, 12420.992188, 0.120622, 2.744320,545.944746
ca-AstroPh, 36.978687, 6.856447, 0.471040,538.260858
ca-CondMat, 55.967743, 2.137643, 0.309248,386.870860
ca-HepPh, 15.199232, 9.979873, 0.284672,532.846238
ca2010, 52546.859375, 0.042499, 4.823040,463.026273
cage10, 13.715456, 7.029500, 0.215040,448.348218
cage11, 159.572998, 2.244879, 0.453632,789.675513
cage12, 1768.470581, 0.735564, 1.636352,794.953094
cage13, 20667.216797, 0.231612, 5.463040,876.211712
cage14, 236236.531250, 0.073500, 21.176319,819.945301
cage15, 0.006144, 10333286.197003, 85.163010,745.484605
caidaRouterLevel, 3851.864990, 0.202397, 1.881088,414.443382
cant, 409.004028, 6.270660, 4.848640,528.957633
case39, 169.016327, 3.946260, 1.452032,459.344156
case9, 21.927937, 4.318787, 0.185344,510.953051
cat_ears_4_4, 88.248322, 0.963739, 0.220160,386.302339
cbuckle, 19.842049, 21.820811, 0.953344,454.158841
cca, 251.965439, 0.353735, 0.266240,334.769230
ccc, 251.957245, 0.374555, 0.268288,351.755743
cfd1, 521.071594, 2.245666, 1.210368,966.774505
cfd2, 1589.239868, 1.243522, 1.981440,997.383101
ch7-7-b5, 194.779129, 0.695532, 0.246784,548.962652
ch7-8-b3, 72.483841, 2.076711, 0.286720,524.999986
ch7-8-b4, 865.781738, 0.521591, 0.831488,543.103440
ch7-8-b5, 2076.544922, 0.260963, 0.918528,589.966542
ch7-9-b3, 195.371002, 1.386851, 0.472064,573.969645
ch7-9-b4, 3503.820801, 0.289987, 1.741824,583.333323
ch7-9-b5, 14008.710938, 0.116049, 2.506752,648.529408
ch8-8-b3, 231.212036, 1.302078, 0.552960,544.444466
ch8-8-b4, 4613.729492, 0.261009, 2.055168,585.949203
ch8-8-b5, 22134.937500, 0.097927, 3.275776,661.706802
channel-500x100x100-b050, 0.006144, 8891952.185484, 51.325951,1064.415866
chem_master1, 170.379257, 0.755777, 0.249856,515.371424
chipcool0, 42.268673, 4.256959, 0.288768,623.116149
chipcool1, 42.268673, 4.256959, 0.294912,610.134527
circuit5M, 0.006144, 6200446.759852, 72.653824,524.343307
circuit5M_dc, 0.005120, 2399274.185611, 21.705729,565.946612
circuit_4, 670.866455, 0.293451, 0.594944,330.899311
cit-HepPh, 124.695549, 2.163749, 0.499712,539.930851
cit-HepTh, 80.618500, 2.800802, 0.437248,516.403698
cit-Patents, 0.005120, 2064868.552163, 26.035200,406.070500
citationCiteseer, 7513.832520, 0.197038, 3.289088,450.127256
ckt11752_dc_1, 258.525177, 0.824440, 0.433152,492.064136
ckt11752_tr_0, 257.813507, 0.826716, 0.438272,486.315713
cnr-2000, 11044.610352, 0.186366, 4.641792,443.435932
co2010, 4213.594238, 0.148027, 1.511424,412.675320
co9, 25.914368, 2.708021, 0.223232,314.366398
coAuthorsCiteseer, 5386.074219, 0.193479, 2.245632,464.052681
coAuthorsDBLP, 9320.859375, 0.134261, 2.883584,433.982596
coPapersCiteseer, 19654.765625, 1.044378, 25.348097,809.804449
coPapersDBLP, 30457.976562, 0.640704, 28.828672,676.914040
cond-mat-2003, 101.434364, 1.514646, 0.343040,447.869417
cond-mat-2005, 171.333633, 1.312568, 0.454656,494.631188
conf5_4-8x8-05, 252.975098, 4.849623, 3.445760,356.041604
conf5_4-8x8-10, 252.972031, 4.849682, 3.448832,355.724462
conf5_4-8x8-15, 253.103104, 4.847171, 3.445760,356.041604
conf5_4-8x8-20, 252.978180, 4.849564, 3.450880,355.513348
conf6_0-8x8-20, 252.977158, 4.849584, 3.447808,355.830113
conf6_0-8x8-30, 252.975098, 4.849623, 3.448832,355.724462
conf6_0-8x8-80, 252.973053, 4.849662, 3.445760,356.041604
consph, 727.520264, 5.287423, 6.438912,597.415720
cont-201, 677.424133, 0.414554, 0.522240,537.738988
cont-300, 3411.006348, 0.185413, 1.131520,558.933807
cont11_l, 300094.250000, 0.011480, 8.231936,418.506554
cont1_l, 384048.812500, 0.011719, 9.670656,465.374765
cop20k_A, 1532.876831, 1.095699, 2.640896,635.985585
copter1, 31.124479, 4.340023, 0.249856,540.635256
copter2, 321.216522, 1.514148, 0.659456,737.531040
crankseg_1, 296.507385, 22.910372, 5.599232,1213.218913
crankseg_2, 432.648193, 20.929867, 7.182336,1260.769380
crashbasis, 2669.128662, 0.419712, 1.477632,758.149665
crplat2, 34.153473, 18.007113, 1.247232,493.096280
crystk02, 20.713472, 29.927050, 1.022976,605.970321
crystk03, 64.325630, 17.423132, 1.914880,585.286753
crystm02, 20.558847, 10.052081, 0.282624,731.216016
crystm03, 63.848450, 5.851556, 0.423936,881.295270
ct2010, 476.261383, 0.451990, 0.549888,391.471125
ct20stif, 287.159302, 6.014140, 3.633152,475.349315
cvxbqp1, 260.864014, 0.858606, 0.377856,592.764249
cvxqp3, 32.073727, 2.443610, 0.202752,386.559355
cyl6, 19.803137, 23.082921, 0.948224,482.074105
cz10228, 11.030528, 5.968947, 0.197632,333.147669
cz20468, 43.876350, 3.005916, 0.272384,484.201149
cz40948, 175.057922, 1.506785, 0.410624,642.375316
d_pretok, 3480.599609, 0.301865, 1.471488,714.018790
darcy003, 15839.352539, 0.084902, 2.622464,512.798235
dawson5, 277.389313, 2.332092, 0.773120,836.735942
dbic1, 1019.458557, 0.679164, 1.381376,501.224508
dbir1, 89.920509, 7.665615, 0.624640,1103.509243
dbir2, 90.608643, 8.180475, 0.667648,1110.198399
dblp-2010, 11088.123047, 0.093240, 2.465792,419.279495
dc1, 1424.014282, 0.344444, 0.931840,526.370878
dc2, 1423.333374, 0.344609, 0.931840,526.370878
dc3, 1423.281128, 0.344622, 0.930816,526.949948
de2010, 60.809216, 1.221457, 0.252928,293.663981
debr, 114552.093750, 0.023433, 5.641216,475.846132
degme, 12751.586914, 0.407919, 13.915136,373.810058
delaunay_n15, 112.098305, 1.122146, 0.263168,477.986368
delaunay_n16, 447.895538, 0.561774, 0.492544,510.849797
delaunay_n17, 1791.642578, 0.280896, 0.986112,510.353064
delaunay_n18, 7162.040527, 0.140545, 1.903616,528.776237
delaunay_n19, 28642.146484, 0.070288, 3.671040,548.404106
delaunay_n20, 114555.359375, 0.035149, 7.215104,558.062368
delaunay_n21, 0.006144, 1310709.953639, 14.223360,566.181423
delaunay_n22, 0.004096, 3932146.572428, 28.347391,568.167711
deltaX, 157.491196, 1.005462, 0.371712,426.005511
denormal, 833.548279, 0.887751, 0.867328,853.175927
dictionary28, 289.168396, 0.394126, 0.332800,342.453845
dielFilterV2clx, 38432.496094, 0.421465, 39.638016,408.646441
dielFilterV2real, 139605.359375, 0.222520, 77.139969,402.708605
dielFilterV3clx, 18437.230469, 1.141558, 35.061760,600.288552
dielFilterV3real, 126774.320312, 0.450847, 93.955070,608.331754
dixmaanl, 375.391235, 0.511463, 0.352256,545.054506
e18, 99.257347, 1.008875, 0.230400,434.627785
e40r0100, 31.469568, 11.257850, 0.737280,480.522562
ecl32, 282.025970, 0.863274, 0.396288,614.365298
ecology1, 104185.046875, 0.030690, 5.425152,589.373367
ecology2, 104184.453125, 0.030690, 5.427200,589.149899
email-Enron, 140.573700, 1.673881, 0.406528,578.812978
email-EuAll, 7329.063965, 0.036680, 1.405952,191.207669
engine, 2150.820801, 1.400343, 5.062656,594.922263
enron, 499.647491, 0.353712, 0.479232,368.780706
epb2, 66.556931, 1.683030, 0.241664,463.524880
epb3, 746.798096, 0.397323, 0.595968,497.879074
eu-2005, 77545.132812, 0.158753, 21.001217,586.179823
ex11, 29.262848, 23.991059, 1.184768,592.560521
ex19, 15.238144, 10.914883, 0.344064,483.405882
ex35, 40.754177, 3.583758, 0.266240,548.576922
fcondp2, 4250.820801, 1.700463, 15.156224,476.923680
fe_body, 212.095993, 0.988135, 0.358400,584.764307
fe_ocean, 2144.821289, 0.244439, 0.920576,569.511972
fe_rotor, 1035.315186, 0.818989, 1.150976,736.689316
fe_tooth, 636.912659, 0.909570, 0.911360,635.661499
fem_filter, 572.535828, 1.935201, 1.113088,995.403623
fem_hifreq_circuit, 25139.779297, 0.515244, 32.037888,404.306047
filter3D, 1183.283203, 1.464226, 2.610176,663.784550
finan512, 582.780945, 0.655606, 0.706560,540.753611
finance256, 145.806335, 1.310214, 0.332800,574.030768
fl2010, 24459.056641, 0.061394, 3.386368,443.433243
flickr, 70208.664062, 0.089673, 10.384384,606.277355
flower_7_4, 195.320831, 0.662600, 0.264192,489.869214
flower_8_4, 720.710632, 0.333241, 0.535552,448.453612
foldoc, 18.770945, 4.099544, 0.212992,361.292071
fome12, 123.970558, 0.735803, 0.278528,327.499994
fome13, 495.488007, 0.368194, 0.522240,349.333345
fome20, 382.794739, 0.388966, 0.403456,369.046635
fome21, 1527.630859, 0.194935, 0.796672,373.790173
ford1, 36.748287, 1.769025, 0.200704,323.903072
ford2, 1047.054321, 0.332934, 0.739328,471.509678
fullb, 4141.220703, 1.809411, 15.200256,492.963349
