Dataset,Sputnik_time,Sputnik_gflops,ours_time,ours_gflops
12month1, 1141.585938, 12.683956, 12.333056,1174.066245
144, 2182.139893, 0.630218, 1.737728,791.391426
192bit, 19.695616, 5.014005, 0.197632,499.685881
208bit, 62.437374, 3.072580, 0.280576,683.750023
2D_27628_bjtcai, 79.831039, 3.550683, 0.327680,865.035178
2D_54019_highK, 304.760834, 2.092477, 0.699392,911.799021
2cubes_sphere, 1074.557983, 0.981100, 1.309696,804.957023
333SP, 0.005120, 2777158.320157, 25.803776,551.045334
3D_28984_Tetra, 87.830528, 4.366008, 0.396288,967.651790
3D_51448_3D, 276.391937, 2.446636, 0.709632,952.931124
3Dspectralwave, 48334.757812, 0.445567, 43.036671,500.419215
3Dspectralwave2, 8895.192383, 1.030507, 18.466816,496.379895
3dtube, 215.984131, 9.522531, 3.585024,573.696425
598a, 1284.292603, 0.739454, 1.287168,737.802292
ABACUS_shell_hd, 57.331711, 2.438960, 0.246784,566.607880
ABACUS_shell_ld, 57.334785, 2.438829, 0.251904,555.091440
ABACUS_shell_md, 57.334785, 2.438829, 0.247808,564.266541
ABACUS_shell_ud, 57.336830, 2.438742, 0.248832,561.944439
AS365, 0.005120, 2842019.071795, 29.938688,486.031223
ASIC_100k, 1029.200928, 0.593338, 0.945152,646.101717
ASIC_100ks, 1025.910767, 0.361132, 0.807936,458.563047
ASIC_320k, 10792.792969, 0.156274, 2.545664,662.551268
ASIC_320ks, 10783.308594, 0.108482, 2.330624,501.924132
ASIC_680k, 48585.062500, 0.051002, 4.753408,521.296456
ASIC_680ks, 48562.585938, 0.030696, 3.723264,400.367164
Andrews, 375.611389, 1.295218, 0.734208,662.616817
Baumann, 1312.879639, 0.370791, 0.978944,497.274449
BenElechi1, 6306.548828, 1.334536, 18.286592,460.245256
Bump_2911, 0.006144, 13305197.341884, 205.571075,397.658743
CO, 5099.673828, 0.962077, 13.848576,354.280225
Chebyshev4, 484.748291, 7.100112, 2.545664,1352.011476
Chevron1, 145.769470, 1.451642, 0.287744,735.393720
Chevron2, 849.574890, 0.605045, 0.846848,606.992888
Chevron3, 15158.331055, 0.144105, 2.642944,826.499630
Chevron4, 52738.144531, 0.077380, 4.920320,829.398017
CoupCons3D, 18113.533203, 0.788708, 30.901249,462.320959
Cube_Coup_dt0, 0.005120, 15900768.401687, 162.018311,502.485996
Cube_Coup_dt6, 0.006144, 13250639.531314, 162.025467,502.463802
CurlCurl_0, 12.949504, 5.601722, 0.164864,439.996108
CurlCurl_1, 5345.428711, 0.295977, 1.968128,803.873258
CurlCurl_2, 67778.265625, 0.084244, 6.776832,842.568456
CurlCurl_3, 154964.953125, 0.055939, 10.331136,839.070914
CurlCurl_4, 0.006144, 2762069.381470, 19.999744,848.518587
D6-6, 298.550262, 0.314866, 0.366592,256.424588
Delor295K, 56196.644531, 0.027348, 2.183168,703.952589
Delor338K, 31723.105469, 0.084967, 3.035136,888.073343
Delor64K, 12038.638672, 0.034669, 0.703488,593.286033
Dubcova1, 27.332607, 5.924271, 0.241664,670.045001
Dubcova2, 441.412598, 1.493714, 0.793600,830.826589
Dubcova3, 2244.515869, 1.036952, 2.982912,780.262814
EAT_RS, 56.415234, 3.693663, 0.373760,557.520526
EAT_SR, 56.390656, 3.695239, 0.569344,365.994839
ESOC, 1293.614136, 2.978292, 3.417088,1127.498304
Emilia_923, 88807.875000, 0.295507, 66.256897,396.084529
EternityII_E, 303.427582, 3.171724, 1.229824,782.541666
EternityII_Etilde, 214.719482, 3.488879, 1.027072,729.384380
F1, 12334.105469, 1.392541, 28.826624,595.829479
