Dataset,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
12month1, 122.690559, 472.076266, 76.489731, 757.216694, 46.937088, 1233.977300
144, 8.645632, 636.262600, 7.264256, 757.254722, 3.931136, 1399.313661
192bit, 0.495616, 797.019646, 0.614400, 642.929136, 0.315392, 1252.459465
208bit, 0.945152, 811.906839, 0.932864, 822.601528, 0.525312, 1460.799202
2D_27628_bjtcai, 1.296384, 874.601121, 1.252352, 905.351595, 0.681984, 1662.530012
2D_54019_highK, 3.123200, 816.732803, 2.325504, 1096.889005, 1.496064, 1705.020594
2cubes_sphere, 5.861376, 719.454950, 4.269056, 987.805265, 2.575360, 1637.439326
333SP, 140.761093, 404.061944, 105.277443, 540.250593, 70.686722, 804.623549
3D_28984_Tetra, 4.491264, 341.524178, 1.725440, 888.976248, 0.897024, 1709.960092
3D_51448_3D, 6.947840, 389.318337, 2.518016, 1074.227286, 1.453056, 1861.539845
3Dspectralwave, 79.347710, 1085.671007, 74.781693, 1151.959857, 52.763649, 1632.667746
3Dspectralwave2, 33.708031, 1087.759323, 30.471169, 1203.308781, 22.453247, 1633.003214
3dtube, 5.408768, 1521.023237, 6.739968, 1220.608510, 4.050944, 2030.850681
598a, 5.939200, 639.598284, 5.498880, 690.813792, 2.965504, 1280.963428
ABACUS_shell_hd, 1.035264, 540.267054, 0.841728, 664.489073, 0.477184, 1172.124469
ABACUS_shell_ld, 0.868352, 644.115569, 0.854016, 654.928053, 0.480256, 1164.626887
ABACUS_shell_md, 0.851968, 656.502411, 0.852992, 655.714287, 0.476160, 1174.645186
ABACUS_shell_ud, 0.849920, 658.084357, 0.855040, 654.143702, 0.481280, 1162.148939
AS365, 151.976959, 382.982719, 115.763199, 502.789744, 84.091904, 692.154019
ASIC_100k, 109.041664, 22.401137, 3.378176, 723.069875, 2.003968, 1218.910322
ASIC_100ks, 3.594240, 412.314821, 2.149376, 689.483114, 1.478656, 1002.233343
ASIC_320k, 237.691910, 28.383515, 10.655744, 633.135715, 6.425600, 1049.945808
ASIC_320ks, 12.169216, 384.510051, 5.807104, 805.769249, 4.337664, 1078.734033
ASIC_680k, 461.840393, 21.461395, 17.282047, 573.528050, 12.414976, 798.369549
ASIC_680ks, 22.159361, 269.082244, 10.109952, 589.784262, 7.823360, 762.164925
Andrews, 3.036160, 640.939293, 2.813952, 691.552045, 1.637376, 1188.483463
Baumann, 3.860480, 504.397206, 2.612224, 745.424314, 1.515520, 1284.849682
BenElechi1, 21.017599, 1601.765720, 25.310207, 1330.106438, 16.451584, 2046.323931
Bump_2911, 229.668869, 1423.739068, 249.502716, 1310.561050, 185.705475, 1760.791068
CO, 16.991232, 1155.013716, 17.680384, 1109.993215, 13.846528, 1417.330456
Chebyshev4, 71.024643, 193.835091, 14.772224, 931.956337, 7.590912, 1813.625083
Chevron1, 1.436672, 589.153611, 1.290240, 656.017832, 0.642048, 1318.313394
Chevron2, 3.429376, 599.561829, 2.686976, 765.218191, 1.460224, 1408.087276
Chevron3, 14.042112, 622.240377, 10.521600, 830.441137, 5.293056, 1650.760782
Chevron4, 26.110975, 625.162965, 18.706432, 872.620413, 9.862144, 1655.179030
CoupCons3D, 37.238785, 1534.560821, 46.453758, 1230.151926, 28.283903, 2020.413516
Cube_Coup_dt0, 201.665543, 1614.791126, 269.115387, 1210.067296, 146.122757, 2228.590094
Cube_Coup_dt6, 201.748474, 1614.127344, 269.082611, 1210.214690, 146.151428, 2228.152900
CurlCurl_0, 0.420864, 689.434329, 0.529408, 548.080294, 0.258048, 1124.434533
CurlCurl_1, 10.180608, 621.623177, 6.372352, 993.118653, 3.718144, 1702.059378
CurlCurl_2, 36.210690, 630.746891, 23.222273, 983.529044, 12.856320, 1776.540967
CurlCurl_3, 54.742016, 633.411495, 35.104767, 987.735433, 19.705856, 1759.589713
CurlCurl_4, 107.523071, 631.312133, 68.420609, 992.107802, 39.619583, 1713.309787
D6-6, 2.427904, 154.871369, 1.487872, 252.718513, 0.734208, 512.133900
Delor295K, 10.959872, 560.899502, 6.855680, 896.685214, 4.307968, 1426.980581
Delor338K, 15.482880, 696.362285, 8.962048, 1203.039076, 5.969920, 1806.002954
Delor64K, 2.828288, 590.278767, 2.396160, 696.730802, 1.325056, 1259.930489
Dubcova1, 0.663552, 976.114989, 0.798720, 810.926280, 0.455680, 1421.398837
Dubcova2, 3.414016, 772.514245, 3.075072, 857.663156, 1.694720, 1556.231090
Dubcova3, 9.463808, 983.728894, 8.699904, 1070.106172, 5.165056, 1802.462747
EAT_RS, 1.609728, 517.798989, 1.068032, 780.421841, 0.929792, 896.453757
EAT_SR, 1.009664, 825.529871, 1.041408, 800.366317, 0.708608, 1176.260885
ESOC, 17.004543, 906.289782, 10.909696, 1412.600715, 6.972416, 2210.287511
Emilia_923, 73.556992, 1427.101967, 80.352257, 1306.414176, 59.808769, 1755.149432
EternityII_E, 66.424835, 57.953534, 7.136256, 539.436058, 5.514240, 698.111447
EternityII_Etilde, 4.080640, 734.326252, 6.611968, 453.196528, 4.259840, 703.435094
F1, 44.990463, 1527.057165, 58.931198, 1165.817283, 36.965378, 1858.577224
F2, 8.898560, 1523.097024, 11.827200, 1145.949140, 7.286784, 1859.993281
FEM_3D_thermal1, 0.950272, 1160.398678, 0.996352, 1106.731739, 0.645120, 1709.285649
FEM_3D_thermal2, 9.193472, 971.625093, 7.191552, 1242.097366, 4.555776, 1960.721459
Fault_639, 52.546558, 1394.064352, 56.484863, 1296.865737, 41.612289, 1760.376198
Flan_1565, 172.205063, 1745.357933, 239.251450, 1256.249327, 142.635010, 2107.192849
Franz11, 1.563648, 539.829737, 1.315840, 641.494161, 0.702464, 1201.632680
Freescale1, 122.223618, 396.290744, 85.356544, 567.456059, 61.144066, 792.163355
Freescale2, 131.695618, 447.921155, 69.286911, 851.376577, 55.311359, 1066.494365
FullChip, 2755.750977, 24.730934, 89.873405, 758.314365, 71.388161, 954.672228
G2_circuit, 4.858880, 382.863010, 3.104768, 599.170507, 1.894400, 981.991892
G3_circuit, 51.431423, 381.317750, 29.462528, 665.649411, 20.189184, 971.397080
GL7d14, 7.174144, 653.433861, 5.709824, 821.011017, 3.579904, 1309.484382
GL7d15, 24.259584, 641.634048, 21.999617, 707.547574, 12.454912, 1249.769981
GL7d16, 62.154751, 596.761066, 60.781567, 610.243161, 41.581570, 892.018643
GL7d17, 114.172928, 582.484238, 115.568642, 575.449620, 88.719360, 749.598854
GL7d18, 157.754364, 577.554751, 161.471481, 564.259284, 130.349060, 698.983041
GL7d19, 163.575806, 584.109463, 169.202682, 564.684759, 140.208130, 681.459599
GL7d20, 131.223557, 583.174981, 133.988358, 571.141377, 111.712257, 685.030424
GL7d21, 77.800446, 598.035444, 79.590401, 584.585875, 64.767998, 718.370578
GL7d22, 32.535553, 649.214723, 34.487297, 612.473629, 26.297344, 803.220273
