Dataset,ASpT_time,ASpT_gflops
12month1,55.285759,1047.635091
144,7.255648,758.153105
192bit,0.398144,992.142726
208bit,0.784288,978.435690
2D_27628_bjtcai,1.362464,832.182664
2D_54019_highK,6.781120,376.164985
2cubes_sphere,5.062048,833.061218
333SP,105.738144,537.896722
3D_28984_Tetra,2.280448,672.620129
3D_51448_3D,3.897344,694.042282
3Dspectralwave,70.982658,1213.613435
3Dspectralwave2,29.163521,1257.263308
3dtube,6.091776,1350.486660
598a,5.581600,680.575812
ABACUS_shell_hd,0.689312,811.416391
ABACUS_shell_ld,0.690784,809.687338
ABACUS_shell_md,0.691616,808.713276
ABACUS_shell_ud,0.691008,809.424873
AS365,117.030975,497.343109
ASIC_100k,4.205568,580.815094
ASIC_100ks,2.961536,500.401965
ASIC_320k,12.607488,535.121034
ASIC_320ks,10.583584,442.117339
ASIC_680k,23.607296,419.859135
ASIC_680ks,13.527072,440.796839
Andrews,2.765600,703.642705
Baumann,3.688416,527.927261
BenElechi1,27.597281,1219.876348
Bump_2911,277.260742,1179.353914
CO,17.129761,1145.673090
Chebyshev4,11.206656,1228.472401
Chevron1,1.245696,679.475984
Chevron2,3.062400,671.408964
Chevron3,12.800576,682.591872
Chevron4,23.904640,682.863853
CoupCons3D,46.017506,1241.813944
Cube_Coup_dt0,260.687866,1249.186367
Cube_Coup_dt6,260.711426,1249.073483
CurlCurl_0,0.323680,896.434960
CurlCurl_1,8.827648,716.895559
CurlCurl_2,31.554399,723.822358
CurlCurl_3,48.051937,721.598840
CurlCurl_4,97.184708,698.470173
D6-6,1.895104,198.412747
Delor295K,8.587456,715.856601
Delor338K,10.741824,1003.711594
Delor64K,2.259712,738.801411
Dubcova1,0.569536,1137.246940
Dubcova2,3.255744,810.068610
Dubcova3,9.632608,966.490180
EAT_RS,1.540096,541.210091
EAT_SR,0.974848,855.013154
ESOC,12.031296,1280.913056
Emilia_923,85.614143,1226.121330
EternityII_E,5.702656,675.045814
EternityII_Etilde,4.702208,637.258270
F1,60.745728,1130.993274
F2,10.859520,1248.063418
FEM_3D_thermal1,0.783360,1407.647051
FEM_3D_thermal2,7.958176,1122.444119
Fault_639,59.316959,1234.946710
Flan_1565,232.612869,1292.101652
Franz11,1.528544,552.227288
Freescale1,93.350914,518.860354
Freescale2,113.001472,522.021986
FullChip,119.734268,569.196233
G2_circuit,3.523040,528.034144
G3_circuit,37.605377,521.513571
GL7d14,6.512800,719.786931
GL7d15,22.893215,679.929631
GL7d16,61.830177,599.893725
GL7d17,115.215393,577.213939
GL7d18,164.749863,553.031007
GL7d19,168.608994,566.673070
GL7d20,136.767609,559.535228
GL7d21,79.118431,588.073137
GL7d22,35.163391,600.697468
GL7d23,10.792736,639.346757
GL7d24,2.957312,514.103167
G_n_pin_pout,4.387392,584.888183
Ga10As10H30,13.079552,1196.984487
Ga19As19H42,18.660353,1218.904498
Ga3As3H12,12.179456,1255.033445
Ga41As41H72,38.920193,1216.091064
GaAsH6,6.849536,1263.944173
Ge87H76,16.210943,1246.319781
Ge99H100,17.568768,1231.479166
Geo_1438,137.238815,1178.100569
H2O,4.928096,1151.528779
HEP-th-new,1.588224,568.676641
HTC_336_4438,6.763520,342.362616
HTC_336_9129,6.657024,339.725432
HV15R,516.548584,1402.903957
Hamrle3,32.104095,439.708994
Hook_1498,138.333115,1127.341487
IG5-15,0.723968,1143.949742
IG5-16,1.198080,1257.106897
IG5-17,2.136064,1240.421829
IG5-18,4.200448,1091.229878
IMDB,22.253569,435.125954
Ill_Stokes,0.570464,858.778235
JP,28.229631,1245.516476
LargeRegFile,45.827518,276.191140
LeGresley_87936,2.981440,509.413748
Lin,8.676096,521.200321
Linux_call_graph,8.408864,368.040733
Long_Coup_dt0,178.883331,1246.330879
Long_Coup_dt6,178.868134,1246.436775
M6,107.940674,498.143197
ML_Geer,196.115463,1447.375559
ML_Laplace,49.103870,1443.599614
Maragal_6,1.667072,825.697146
Maragal_7,3.460096,888.233975
Maragal_8,3.880960,863.070583
NACA0015,31.734753,502.536394
NLR,128.039291,499.365753
NotreDame_actors,10.919776,344.717168
NotreDame_www,5.490112,433.581959
OPF_10000,1.756896,681.508836
OPF_3754,0.454688,891.114058
OPF_6000,1.138432,680.049456
PFlow_742,77.341698,1229.278164
PR02R,17.842400,1174.390700
Pres_Poisson,1.103392,1660.749971
RFdevice,2.743840,341.085780
RM07R,78.510078,1221.630454
Raj1,7.950336,419.392067
Reuters911,1.446912,523.842869
Rucci1,39.957600,499.163870
Serena,143.545853,1150.859823
Si10H16,1.773568,1264.323013
Si34H36,10.905600,1210.417651
Si41Ge41H72,30.708736,1251.397579
Si5H12,1.565696,1207.648789
Si87H76,23.047169,1184.257193
SiO,3.348480,1007.381503
SiO2,24.190975,1194.072064
Stanford,13.185024,448.993661
Stanford_Berkeley,29.618176,655.457071
StocF-1465,69.543678,773.237729
TF16,0.623552,887.500735
TF17,2.029568,739.427362
TF18,5.243712,779.927509
TF19,14.676448,762.381052
TSOPF_FS_b162_c1,1.102848,1412.581176
TSOPF_FS_b162_c3,3.187712,1446.594945
TSOPF_FS_b162_c4,4.328448,1418.393719
TSOPF_FS_b300,6.546432,1720.679645
TSOPF_FS_b300_c1,6.543360,1721.487419
TSOPF_FS_b300_c2,13.059072,1718.706639
TSOPF_FS_b300_c3,19.830784,1695.746425
TSOPF_FS_b39_c19,4.811776,1052.138718
TSOPF_FS_b39_c30,7.727104,1034.044502
TSOPF_FS_b39_c7,1.557504,1199.999955
TSOPF_FS_b9_c6,0.553984,683.789296
TSOPF_RS_b162_c3,1.181792,1322.030791
TSOPF_RS_b162_c4,1.297184,1603.964785
TSOPF_RS_b2052_c1,8.745984,1979.012979
TSOPF_RS_b2383,20.440063,2025.345601
TSOPF_RS_b2383_c1,20.438017,2025.548411
TSOPF_RS_b300_c1,2.001920,1885.326101
TSOPF_RS_b300_c2,6.522880,1155.371650
TSOPF_RS_b300_c3,6.749184,1674.043739
TSOPF_RS_b39_c19,1.618528,1082.197744
TSOPF_RS_b39_c30,2.747040,1006.452082
TSOPF_RS_b39_c7,0.467872,1381.279001
TSOPF_RS_b678_c1,5.705728,1972.491457
TSOPF_RS_b678_c2,11.543552,1947.562472
Transport,77.122147,780.085540
Trefethen_20000,1.085152,1308.049859
Trefethen_20000b,1.082816,1310.798505
Wordnet3,1.491008,228.293765
Zd_Jac2,3.230720,1301.769396
Zd_Jac2_db,1.418240,1221.009067
Zd_Jac3,3.672064,1335.856083
Zd_Jac3_db,1.451008,1259.539553
Zd_Jac6,3.301376,1327.530200
Zd_Jac6_db,1.354752,1254.049560
Zhao1,0.829888,513.466500
Zhao2,0.823712,517.316349
a0nsdsil,3.124224,290.916098
a2nnsnsl,3.170304,280.379517
a5esindl,2.417664,270.016936
adaptive,142.564255,489.298797
af23560,1.072960,1155.397534
af_0_k101,36.937057,1216.386227
af_1_k101,36.967937,1215.370158
af_2_k101,36.965794,1215.440644
af_3_k101,36.968384,1215.355485
af_4_k101,36.963295,1215.522805
af_5_k101,36.973663,1215.181942
af_shell1,37.383808,1204.465844
af_shell10,108.491486,1242.873127
af_shell2,37.433983,1202.851435
af_shell3,37.382591,1204.505052
af_shell4,37.322334,1206.449727
af_shell5,37.390530,1204.249323
af_shell6,37.288158,1207.555479
af_shell7,37.310207,1206.841859
af_shell8,37.391998,1204.202023
af_shell9,37.425632,1203.119814
airfoil_2d,0.600000,1108.002089
ak2010,2.169536,256.170375
al2010,6.091360,517.131457
amazon-2008,24.441824,540.281826
amazon0302,6.900096,458.150894
amazon0312,14.861024,551.316414
amazon0505,15.281120,562.358601
amazon0601,15.231040,569.344791
apache1,2.580256,537.927651
apache2,23.269760,530.033276
appu,4.052992,1170.480079
ar2010,4.469120,518.006584
as-Skitter,89.001984,638.277075
as-caida,1.564672,174.676048
astro-ph,1.014784,611.760861
atmosmodd,43.897343,514.065122
atmosmodj,43.905376,513.971059
atmosmodl,54.176254,487.641421
atmosmodm,54.163105,487.759806
audikw_1,163.261444,1217.609763
aug3dcqp,0.793088,413.540984
auto,24.846815,683.017451
av41092,4.272128,1009.049592
az2010,5.879744,520.771077
barrier2-1,9.718784,1002.283181
barrier2-10,9.939968,1003.800597
barrier2-11,9.932800,1004.524970
barrier2-12,9.933824,1004.421493
barrier2-2,9.710592,1003.128729
barrier2-3,9.708544,1003.340388
barrier2-4,9.713664,1002.811506
barrier2-9,9.938944,1003.904042
bauru5727,0.910368,407.800614
baxter,1.317888,216.736593
bayer01,1.360352,522.733395
