Dataset,ASpT_time,ASpT_gflops
Zd_Jac3_db,1.995776,228.933742
Zd_Jac6,3.239936,338.176150
Zd_Jac6_db,1.948672,217.959466
Zhao1,0.538368,197.875659
Zhao2,0.537792,198.087578
a0nsdsil,1.497088,151.775825
a2nnsnsl,1.500160,148.132255
a5esindl,1.191936,136.922249
adaptive,123.492126,141.216530
af23560,0.509952,607.750994
af_0_k101,14.023808,800.954518
af_1_k101,14.023296,800.983714
af_2_k101,14.021632,801.078779
af_3_k101,14.016448,801.375069
af_4_k101,14.021440,801.089785
af_5_k101,14.079008,797.814158
af_shell1,14.064832,800.356536
af_shell10,41.760063,807.237476
af_shell2,14.083488,799.296284
af_shell3,14.063872,800.411134
af_shell4,14.071136,799.997926
af_shell5,14.060192,800.620640
af_shell6,14.072128,799.941541
af_shell7,14.065536,800.316487
af_shell8,14.066880,800.239983
af_shell9,14.072096,799.943385
airfoil_2d,0.326720,508.693439
ak2010,3.303744,42.056139
al2010,5.089024,154.746464
amazon-2008,7.529216,438.474391
amazon0302,5.107168,154.747455
amazon0312,4.464000,458.844421
amazon0505,4.615168,465.501433
amazon0601,4.596288,471.669361
apache1,0.885728,391.765598
apache2,7.324128,420.997112
appu,1.925120,616.058512
ar2010,3.739136,154.783994
as-Skitter,27.433985,517.678404
as-caida,1.176576,58.073324
astro-ph,0.856064,181.296347
atmosmodd,13.184832,427.879806
atmosmodj,13.185120,427.870460
atmosmodl,15.519840,425.561494
atmosmodm,15.485728,426.498921
audikw_1,59.700226,832.445462
aug3dcqp,0.483328,169.643798
auto,7.007072,605.488583
av41092,2.258944,477.080115
az2010,4.917184,155.678571
barrier2-1,3.490816,697.614380
barrier2-10,3.570688,698.587072
barrier2-11,3.565568,699.590220
barrier2-12,3.568640,698.987985
barrier2-2,3.488768,698.023901
barrier2-3,3.487744,698.228842
barrier2-4,3.492864,697.205386
barrier2-9,3.573760,697.986562
bauru5727,0.677824,136.926632
baxter,0.980992,72.792274
bayer01,0.925088,192.171299
bayer04,0.298272,341.341042
bbmat,1.660928,682.691888
bcircuit,1.329984,180.721820
bcsstk17,0.600064,457.177917
bcsstk18,0.279360,341.557851
bcsstk25,0.357024,452.166335
bcsstk29,0.673792,588.419449
bcsstk30,2.030592,644.065821
bcsstk31,1.154048,655.177482
bcsstk32,1.986560,649.066048
bcsstk35,1.497088,619.939741
bcsstk36,1.178624,620.731954
bcsstk37,1.145856,637.274898
bcsstk39,1.774528,753.523269
bcsstm36,0.493472,415.804414
belgium_osm,18.745407,105.837211
bfly,0.613056,205.248981
blockqp1,0.706560,579.740023
bloweya,0.773120,124.179638
bloweybl,0.763904,100.536196
bmw3_2,9.196544,785.591135
bmw7st_1,6.268928,749.312616
bmwcra_1,9.196544,740.730595
bodyy4,0.223840,348.643319
bodyy5,0.229152,361.069692
bodyy6,0.237280,363.447072
bone010,55.730175,823.009222
boneS01,5.384192,798.206544
boneS10,42.988544,825.796512
boyd1,2.302976,336.602672
boyd2,3.820544,251.339620
brack2,0.883200,531.244934
brainpc2,1.186816,96.740187
bratu3d,0.296832,374.721869
bundle1,1.608704,306.692001
bundle_adj,18.215937,709.991085
c-42,0.674816,104.595028
c-43,1.018880,77.685301
c-45,1.320960,84.521315
c-46,1.046528,79.743764
c-47,1.337344,101.168162
c-48,1.104896,96.200190
c-49,1.265664,79.410398
c-50,1.244160,99.601333
c-51,1.135616,114.433053
c-52,0.641024,202.392175
c-53,1.185792,200.892168
c-54,1.178624,212.691675
c-55,1.167360,221.189703
c-56,1.201152,202.951838
c-57,1.205248,215.164083
c-58,1.382400,255.813419
c-59,0.677888,453.678264
c-60,0.900096,212.299488
c-61,0.980992,202.254693
c-62,1.423360,251.503149
c-62ghs,1.435648,249.350488
c-63,0.863232,322.289436
c-64,1.312768,349.961491
c-64b,1.335296,344.057219
c-65,1.185792,194.585497
c-66,1.238016,257.964742
c-66b,1.240064,257.538703
c-67,1.589248,214.213523
c-67b,1.594368,213.525613
c-68,1.140736,317.552742
c-69,1.254400,318.352037
c-70,1.395712,302.176262
c-71,1.191936,461.530277
c-72,1.129472,400.928144
c-73,1.953792,419.049402
c-73b,1.954816,418.829888
c-big,3.864576,387.687291
ca-AstroPh,1.245184,203.618430
ca-CondMat,0.783488,152.700544
ca-HepPh,1.120256,135.403343
ca2010,14.472448,154.306596
cage10,0.247744,389.163016
cage11,0.621024,576.824845
cage12,2.148672,605.407888
cage13,7.448896,642.615975
cage14,26.458561,656.249726
cage15,95.930756,661.807699
caidaRouterLevel,3.476640,224.240785
cant,3.232864,793.329134
case39,1.377280,484.275094
case9,0.477184,198.460301
cat_ears_4_4,0.445504,190.903602
cbuckle,1.597728,270.990805
cca,0.603776,147.619255
ccc,0.519328,181.719145
cfd1,1.705632,686.052431
cfd2,2.817536,701.412383
ch7-7-b5,0.575616,235.356904
ch7-8-b3,0.430112,349.973957
ch7-8-b4,1.306336,345.687468
ch7-8-b5,1.387264,390.625573
ch7-9-b3,0.721408,375.585517
ch7-9-b4,2.834464,358.467765
ch7-9-b5,3.980704,408.395694
ch8-8-b3,0.831008,362.278093
ch8-8-b4,3.333280,361.272971
ch8-8-b5,5.263648,411.806258
channel-500x100x100-b050,78.774879,693.522561
chem_master1,0.639232,201.442738
chipcool0,0.353920,508.408662
chipcool1,0.353344,509.237466
circuit5M,81.401855,467.993586
circuit5M_dc,78.845345,155.802268
circuit_4,1.713152,114.914820
cit-HepPh,1.098752,245.560340
cit-HepTh,1.082368,208.613407
cit-Patents,33.936672,311.525145
citationCiteseer,4.415488,335.298893
ckt11752_dc_1,1.016832,209.610399
ckt11752_tr_0,1.015808,209.821701
cnr-2000,5.136384,400.736642
co2010,4.260448,146.399478
co9,1.073152,65.393014
coAuthorsCiteseer,4.609504,226.074534
coAuthorsDBLP,3.166112,395.256169
coPapersCiteseer,28.139521,729.472327
coPapersDBLP,26.770432,728.958482
cond-mat-2003,0.549984,279.348356
cond-mat-2005,0.710752,316.407181
conf5_4-8x8-05,1.670112,734.581818
conf5_4-8x8-10,1.674656,732.588601
conf5_4-8x8-15,1.669952,734.652190
conf5_4-8x8-20,1.676224,731.903328
conf6_0-8x8-20,1.673632,733.036833
conf6_0-8x8-30,1.792000,684.617122
conf6_0-8x8-80,1.676000,732.001146
consph,5.311488,724.224001
cont-201,1.456704,192.783706
cont-300,3.623104,174.558827
cont11_l,22.523104,152.959352
cont1_l,28.785664,156.344471
cop20k_A,2.462912,681.945512
copter1,0.289312,466.904095
copter2,0.828320,587.175566
crankseg_1,9.056256,750.099619
crankseg_2,12.155904,744.927671
crashbasis,2.203136,508.487110
crplat2,1.369632,449.029694
crystk02,0.937984,660.878146
crystk03,1.508352,743.032057
crystm02,0.382112,540.834106
crystm03,0.599072,623.652604
ct2010,1.194176,180.262614
ct20stif,2.583552,668.465894
cvxbqp1,0.514944,434.958972
cvxqp3,0.217504,360.341336
cyl6,1.776736,257.277522
cz10228,0.220992,297.932234
cz20468,0.328384,401.629297
cz40948,0.543776,485.079760
d_pretok,2.241760,468.680890
darcy003,8.019616,167.688186
dawson5,1.007936,641.803924
dbic1,1.990656,347.814747
dbir1,1.830912,376.476861
dbir2,1.689600,438.696593
dblp-2010,2.994176,345.288998
dc1,1.664000,294.767686
dc2,1.702912,288.032175
dc3,1.666048,294.405338
de2010,0.612992,121.169349
debr,18.128063,148.077083
degme,7.987200,651.244248
delaunay_n15,0.639456,196.715216
delaunay_n16,1.191968,211.092922
delaunay_n17,2.963936,169.796266
delaunay_n18,6.051136,166.346762
delaunay_n19,12.149568,165.702476
delaunay_n20,24.233984,166.150068
delaunay_n21,48.405441,166.365640
delaunay_n22,96.672287,166.604855
deltaX,0.453376,349.271602
denormal,1.308608,565.473640
dictionary28,0.633760,179.829343
dielFilterV2clx,20.600832,786.275724
dielFilterV2real,39.058434,795.344986
dielFilterV3clx,26.299393,800.291222
dielFilterV3real,70.739967,807.971150
dixmaanl,0.914912,209.854853
e18,0.513056,195.179949
e40r0100,0.641024,552.677721
ecl32,0.548224,444.098785
ecology1,18.164768,176.024266
ecology2,18.183807,175.839645
email-Enron,1.231872,191.013098
email-EuAll,3.207712,83.807027
engine,4.210688,715.295609
enron,1.487872,118.781400
epb2,0.404416,276.985286
epb3,1.646176,180.248044
eu-2005,18.539520,664.013385
ex11,1.076224,652.323996
ex19,0.369408,450.240804
ex35,0.323904,450.914828
fcondp2,9.175040,787.828941
fe_body,0.474144,442.016592
fe_ocean,2.955552,177.387852
fe_rotor,1.511424,561.001883
fe_tooth,1.132288,511.633516
fem_filter,3.497984,316.745835
fem_hifreq_circuit,16.366592,791.436076
filter3D,2.640288,656.214203
finan512,0.863296,442.576929
finance256,0.427328,447.051081
fl2010,9.556352,157.134042
flickr,12.448768,505.738169
flower_7_4,0.592576,218.401545
flower_8_4,1.316672,182.407043
foldoc,0.310976,247.454210
fome12,0.696288,131.006022
fome13,0.966912,188.678851
fome20,1.207552,123.302421
fome21,2.351808,126.620945
ford1,0.428256,151.798549
ford2,2.166848,160.878995
fullb,9.226240,812.158491
fxm3_16,0.614688,408.404408
fxm4_6,0.935936,340.429440
g7jac040,0.349184,210.174116
g7jac040sc,0.353280,207.737314
g7jac050sc,0.421888,239.669300
g7jac060,0.472064,275.645343
g7jac060sc,0.478208,272.103851
g7jac080,0.565248,332.853253
g7jac080sc,0.691200,272.199993
g7jac100,0.660480,372.709290
g7jac100sc,0.659456,373.288035
g7jac120,0.755712,402.520340
g7jac120sc,0.740352,410.871383
g7jac140,1.025024,353.369111
g7jac140sc,0.831488,435.618835
g7jac160,0.932864,450.477492
g7jac160sc,0.925696,453.965700
g7jac180,1.038336,460.599095
g7jac180sc,1.039360,460.145300
g7jac200,1.150976,465.934187
g7jac200sc,1.146880,467.598202
ga2010,5.777152,157.093985
garon2,0.443584,563.565148
gas_sensor,1.604448,679.457126
gearbox,7.408640,784.416388
graphics,0.254144,297.038514
great-britain_osm,100.041634,104.359969
gridgena,0.600224,546.019070
gsm_106857,19.524609,713.238951
gupta1,2.538496,545.635837
