Dataset,ASpT_time,ASpT_gflops
12month1,67.836929,853.801929
144,5.981920,919.586416
192bit,0.383776,1029.287060
208bit,0.695392,1103.514775
2D_27628_bjtcai,1.136096,997.995662
2D_54019_highK,6.992800,364.778022
2cubes_sphere,3.310816,1273.702851
333SP,120.094078,473.597049
3D_28984_Tetra,2.642944,580.366116
3D_51448_3D,3.609600,749.368780
3Dspectralwave,61.264896,1406.115295
3Dspectralwave2,25.097216,1460.967828
3dtube,4.804608,1712.285853
598a,4.911392,773.447103
ABACUS_shell_hd,0.675264,828.296843
ABACUS_shell_ld,0.673504,830.461355
ABACUS_shell_md,0.679616,822.992780
ABACUS_shell_ud,0.672352,831.884231
AS365,129.405914,449.782759
ASIC_100k,3.058688,798.596437
ASIC_100ks,4.671008,317.267358
ASIC_320k,9.329664,723.126971
ASIC_320ks,6.880256,680.088910
ASIC_680k,14.776320,670.785322
ASIC_680ks,16.851456,353.838308
Andrews,2.324736,837.081777
Baumann,2.089888,931.731878
BenElechi1,21.673216,1553.312160
Bump_2911,188.080414,1738.557114
CO,14.588352,1345.258577
Chebyshev4,11.154432,1234.224010
Chevron1,0.831648,1017.762909
Chevron2,1.782016,1153.818392
Chevron3,7.008000,1246.799288
Chevron4,12.922656,1263.177991
CoupCons3D,29.627392,1928.795505
Cube_Coup_dt0,181.194748,1797.224988
Cube_Coup_dt6,181.184509,1797.326548
CurlCurl_0,0.301088,963.698569
CurlCurl_1,5.013280,1262.347578
CurlCurl_2,18.419071,1240.007142
CurlCurl_3,27.858816,1244.640903
CurlCurl_4,54.331104,1249.387812
D6-6,1.150816,326.735822
Delor295K,11.295520,544.232313
Delor338K,16.962721,635.611086
Delor64K,3.244800,514.508861
Dubcova1,0.548704,1180.423337
Dubcova2,2.406240,1096.056925
Dubcova3,6.979200,1333.938215
EAT_RS,1.946624,428.185157
EAT_SR,0.899072,927.075749
ESOC,9.045856,1703.657789
Emilia_923,59.236511,1772.105162
EternityII_E,6.594560,583.746881
EternityII_Etilde,5.167104,579.922737
F1,42.723328,1608.091249
F2,7.952384,1704.315286
FEM_3D_thermal1,0.795168,1386.743964
FEM_3D_thermal2,5.355200,1668.025155
Fault_639,41.837727,1750.890639
Flan_1565,180.940796,1661.092907
Franz11,1.007648,837.696981
Freescale1,106.250145,455.868445
Freescale2,66.183167,891.302974
FullChip,76.066818,895.953005
G2_circuit,3.782240,491.847551
G3_circuit,39.229599,499.921362
GL7d14,4.478528,1046.734207
GL7d15,20.616064,755.031383
GL7d16,60.728001,610.781435
GL7d17,117.011330,568.354629
GL7d18,163.864166,556.020175
GL7d19,172.828705,552.837424
GL7d20,137.891418,554.975037
GL7d21,81.903618,568.075321
GL7d22,36.175522,583.890955
GL7d23,11.375808,606.576776
GL7d24,3.176448,478.636348
G_n_pin_pout,3.102752,827.050884
Ga10As10H30,10.545152,1484.665267
Ga19As19H42,14.969856,1519.399214
Ga3As3H12,10.113024,1511.479127
Ga41As41H72,30.888960,1532.278806
GaAsH6,5.781504,1497.435755
Ge87H76,13.667328,1478.271347
Ge99H100,14.545920,1487.397885
Geo_1438,92.533890,1747.263914
H2O,4.164640,1362.625396
HEP-th-new,1.814528,497.752543
HTC_336_4438,5.097472,454.259726
HTC_336_9129,4.985856,453.595189
HV15R,426.564606,1698.847121
Hamrle3,33.965408,415.612831
Hook_1498,91.890686,1697.110621
IG5-15,0.869376,952.617782
IG5-16,1.341440,1122.759573
IG5-17,2.184192,1213.089577
IG5-18,3.533824,1297.080568
IMDB,17.199104,563.000555
Ill_Stokes,0.615616,795.791632
JP,25.061377,1402.974451
LargeRegFile,20.912928,605.231118
LeGresley_87936,1.933824,785.379954
Lin,4.656352,971.143066
Linux_call_graph,13.391008,231.110637
Long_Coup_dt0,122.207230,1824.342310
Long_Coup_dt6,122.334206,1822.448745
M6,119.407646,450.305437
ML_Geer,158.939133,1785.920959
ML_Laplace,39.739391,1783.779921
Maragal_6,2.257920,609.630378
Maragal_7,3.159040,972.882504
Maragal_8,3.602432,929.800309
NACA0015,35.321026,451.512032
NLR,141.817764,450.849281
NotreDame_actors,6.767520,556.220634
